Area of Residence,Country,Year,Visits by Country,Spendings by Country
Other Countries,South Africa,2020 Q2,2000,3
Other Countries,Nigeria,2020 Q2,7000,20
Other Countries,Other Africa,2020 Q2,2000,9
Other Countries,Israel,2020 Q2,5000,4
Other Countries,United Arab Emirates,2020 Q2,3000,12
Other Countries,Other Middle East,2020 Q2,9000,95
Other Countries,Hong Kong (China),2020 Q2,1000,7
Other Countries,Other China,2020 Q2,4000,44
Other Countries,India,2020 Q2,3000,5
Other Countries,Japan,2020 Q2,2000,3
Other Countries,Pakistan,2020 Q2,1000,2
Other Countries,Sri Lanka,2020 Q2,0,0
Other Countries,Thailand,2020 Q2,1000,2
Other Countries,Other Asia,2020 Q2,4000,7
Other Countries,Australia,2020 Q2,1000,5
Other Countries,New Zealand,2020 Q2,1000,1
Other Countries,Barbados,2020 Q2,0,0
Other Countries,Jamaica,2020 Q2,0,0
Other Countries,Other Caribbean,2020 Q2,2000,3
Other Countries,Brazil,2020 Q2,1000,2
Other Countries,Mexico,2020 Q2,1000,1
Other Countries,Other Central & Sth. America,2020 Q2,1000,1
Other Countries,Rest of the World,2020 Q2,0,0
Other Countries,Total Other Countries,2020 Q2,53000,231
Total World,Total World,2020 Q2,346000,545
North America,Canada,2020 Q3,50000,53
North America,USA,2020 Q3,239000,276
North America,Total North America,2020 Q3,289000,329
Europe,Austria,2020 Q3,24000,12
Europe,Belgium,2020 Q3,33000,18
Europe,Bulgaria,2020 Q3,20000,11
Europe,Czech Republic,2020 Q3,20000,7
Europe,Cyprus,2020 Q3,11000,15
Europe,Denmark,2020 Q3,23000,16
Europe,Finland,2020 Q3,3000,6
Europe,France,2020 Q3,148000,74
Europe,Germany,2020 Q3,144000,82
Europe,Greece,2020 Q3,23000,27
Europe,Hungary,2020 Q3,18000,5
Europe,Republic of Ireland,2020 Q3,247000,102
Europe,Italy,2020 Q3,85000,61
Europe,Lithuania,2020 Q3,19000,7
Europe,Luxembourg,2020 Q3,7000,5
Europe,Malta,2020 Q3,10000,9
Europe,Netherlands,2020 Q3,77000,44
Europe,Norway,2020 Q3,13000,8
Europe,Poland,2020 Q3,135000,43
Europe,Portugal,2020 Q3,45000,27
Europe,Romania,2020 Q3,62000,36
Europe,Russia,2020 Q3,10000,7
Europe,Slovakia,2020 Q3,4000,5
Europe,Spain,2020 Q3,174000,97
Europe,Sweden,2020 Q3,45000,27
Europe,Switzerland,2020 Q3,63000,65
Europe,Turkey,2020 Q3,3000,3
Europe,Rest of Europe,2020 Q3,63000,63
Europe,Total Europe,2020 Q3,1528000,881
Europe,EU,2020 Q3,1395000,739
Europe,EU15,2020 Q3,1078000,597
Europe,EU Other,2020 Q3,317000,142
Other Countries,Egypt,2020 Q3,2000,4
Other Countries,Morocco,2020 Q3,1000,3
Other Countries,Tunisia,2020 Q3,0,0
Other Countries,Other North Africa,2020 Q3,1000,1
Other Countries,South Africa,2020 Q3,3000,6
Other Countries,Nigeria,2020 Q3,36000,64
Other Countries,Other Africa,2020 Q3,7000,14
Other Countries,Israel,2020 Q3,30000,34
Other Countries,United Arab Emirates,2020 Q3,22000,49
Other Countries,Other Middle East,2020 Q3,48000,179
Other Countries,Hong Kong (China),2020 Q3,4000,10
Other Countries,Other China,2020 Q3,8000,80
Other Countries,India,2020 Q3,15000,30
Other Countries,Japan,2020 Q3,2000,3
Other Countries,Pakistan,2020 Q3,3000,2
Other Countries,Sri Lanka,2020 Q3,0,0
Other Countries,Thailand,2020 Q3,2000,6
Other Countries,Other Asia,2020 Q3,13000,40
Other Countries,Australia,2020 Q3,3000,5
Other Countries,New Zealand,2020 Q3,3000,6
Other Countries,Barbados,2020 Q3,1000,1
Other Countries,Jamaica,2020 Q3,0,0
Other Countries,Other Caribbean,2020 Q3,5000,8
Other Countries,Brazil,2020 Q3,3000,3
Other Countries,Mexico,2020 Q3,5000,6
Other Countries,Other Central & Sth. America,2020 Q3,4000,8
Other Countries,Rest of the World,2020 Q3,0,1
Other Countries,Total Other Countries,2020 Q3,222000,565
Total World,Total World,2020 Q3,2040000,1775
North America,Canada,2020 Q4,72000,83
North America,USA,2020 Q4,348000,420
North America,Total North America,2020 Q4,421000,504
Europe,Austria,2020 Q4,25000,12
Europe,Belgium,2020 Q4,118000,94
Europe,Bulgaria,2020 Q4,26000,12
Europe,Czech Republic,2020 Q4,31000,10
Europe,Cyprus,2020 Q4,26000,16
Europe,Denmark,2020 Q4,72000,39
Europe,Finland,2020 Q4,12000,10
Europe,France,2020 Q4,493000,307
Europe,Germany,2020 Q4,217000,125
Europe,Greece,2020 Q4,41000,32
Europe,Hungary,2020 Q4,37000,14
Europe,Republic of Ireland,2020 Q4,391000,149
Europe,Italy,2020 Q4,147000,87
Europe,Lithuania,2020 Q4,25000,11
Europe,Luxembourg,2020 Q4,8000,5
Europe,Malta,2020 Q4,16000,34
Europe,Netherlands,2020 Q4,170000,86
Europe,Norway,2020 Q4,60000,51
Europe,Poland,2020 Q4,183000,47
Europe,Portugal,2020 Q4,92000,38
Europe,Romania,2020 Q4,101000,41
Europe,Russia,2020 Q4,7000,6
Europe,Slovakia,2020 Q4,6000,4
Europe,Spain,2020 Q4,302000,155
Europe,Sweden,2020 Q4,65000,46
Europe,Switzerland,2020 Q4,87000,63
Europe,Turkey,2020 Q4,24000,25
Europe,Rest of Europe,2020 Q4,122000,109
Europe,Total Europe,2020 Q4,2904000,1626
Europe,EU,2020 Q4,2653000,1393
Europe,EU15,2020 Q4,2154000,1185
Europe,EU Other,2020 Q4,499000,208
Other Countries,Egypt,2020 Q4,4000,15
Other Countries,Morocco,2020 Q4,1000,2
Other Countries,Tunisia,2020 Q4,1000,0
Other Countries,Other North Africa,2020 Q4,0,0
Other Countries,South Africa,2020 Q4,10000,14
Other Countries,Nigeria,2020 Q4,32000,75
Other Countries,Other Africa,2020 Q4,15000,23
Other Countries,Israel,2020 Q4,35000,38
Other Countries,United Arab Emirates,2020 Q4,63000,131
Other Countries,Other Middle East,2020 Q4,95000,297
Other Countries,Hong Kong (China),2020 Q4,6000,22
Other Countries,Other China,2020 Q4,3000,16
Other Countries,India,2020 Q4,33000,72
Other Countries,Japan,2020 Q4,5000,8
Other Countries,Pakistan,2020 Q4,12000,12
Other Countries,Sri Lanka,2020 Q4,0,0
Other Countries,Thailand,2020 Q4,1000,1
Other Countries,Other Asia,2020 Q4,54000,93
Other Countries,Australia,2020 Q4,19000,24
Other Countries,New Zealand,2020 Q4,5000,4
Other Countries,Barbados,2020 Q4,1000,1
Other Countries,Jamaica,2020 Q4,1000,2
Other Countries,Other Caribbean,2020 Q4,10000,10
Other Countries,Brazil,2020 Q4,13000,17
Other Countries,Mexico,2020 Q4,3000,6
Other Countries,Other Central & Sth. America,2020 Q4,9000,24
Other Countries,Rest of the World,2020 Q4,0,1
Other Countries,Total Other Countries,2020 Q4,428000,909
Total World,Total World,2020 Q4,3753000,3039
North America,Canada,2021 Q1,2000,2
North America,USA,2021 Q1,29000,29
North America,Total North America,2021 Q1,31000,31
Europe,Austria,2021 Q1,3000,1
Europe,Belgium,2021 Q1,2000,1
Europe,Bulgaria,2021 Q1,8000,10
Europe,Czech Republic,2021 Q1,1000,0
Europe,Cyprus,2021 Q1,2000,0
Europe,Denmark,2021 Q1,2000,3
Europe,Finland,2021 Q1,1000,0
Europe,France,2021 Q1,13000,12
Europe,Germany,2021 Q1,10000,8
Europe,Greece,2021 Q1,4000,10
Europe,Hungary,2021 Q1,1000,1
Europe,Republic of Ireland,2021 Q1,24000,13
Europe,Italy,2021 Q1,10000,11
Europe,Lithuania,2021 Q1,2000,0
Europe,Luxembourg,2021 Q1,0,0
Europe,Malta,2021 Q1,0,0
Europe,Netherlands,2021 Q1,13000,3
Europe,Norway,2021 Q1,1000,1
Europe,Poland,2021 Q1,8000,8
Europe,Portugal,2021 Q1,3000,2
Europe,Romania,2021 Q1,13000,21
Europe,Russia,2021 Q1,2000,2
Europe,Slovakia,2021 Q1,0,0
Europe,Spain,2021 Q1,24000,21
Europe,Sweden,2021 Q1,2000,2
Europe,Switzerland,2021 Q1,2000,3
Europe,Turkey,2021 Q1,1000,2
Europe,Rest of Europe,2021 Q1,5000,8
Europe,Total Europe,2021 Q1,158000,143
Europe,EU,2021 Q1,147000,127
Europe,EU15,2021 Q1,111000,86
Europe,EU Other,2021 Q1,36000,41
Other Countries,Egypt,2021 Q1,1000,1
Other Countries,Morocco,2021 Q1,0,0
Other Countries,Tunisia,2021 Q1,0,0
Other Countries,Other North Africa,2021 Q1,0,1
Other Countries,South Africa,2021 Q1,2000,3
Other Countries,Nigeria,2021 Q1,6000,15
Other Countries,Other Africa,2021 Q1,2000,2
Other Countries,Israel,2021 Q1,0,0
Other Countries,United Arab Emirates,2021 Q1,4000,8
Other Countries,Other Middle East,2021 Q1,6000,21
Other Countries,Hong Kong (China),2021 Q1,1000,5
Other Countries,Other China,2021 Q1,1000,6
Other Countries,India,2021 Q1,6000,8
Other Countries,Japan,2021 Q1,2000,5
Other Countries,Pakistan,2021 Q1,4000,5
Other Countries,Sri Lanka,2021 Q1,0,2
Other Countries,Thailand,2021 Q1,1000,4
Other Countries,Other Asia,2021 Q1,4000,9
Other Countries,Australia,2021 Q1,1000,1
Other Countries,New Zealand,2021 Q1,1000,6
Other Countries,Barbados,2021 Q1,0,0
Other Countries,Jamaica,2021 Q1,0,0
Other Countries,Other Caribbean,2021 Q1,2000,2
Other Countries,Brazil,2021 Q1,3000,3
Other Countries,Mexico,2021 Q1,0,1
Other Countries,Other Central & Sth. America,2021 Q1,6000,4
Other Countries,Rest of the World,2021 Q1,0,0
Other Countries,Total Other Countries,2021 Q1,56000,113
Total World,Total World,2021 Q1,245000,287
North America,Canada,2021 Q2,4000,9
North America,USA,2021 Q2,47000,59
North America,Total North America,2021 Q2,51000,68
Europe,Austria,2021 Q2,4000,4
Europe,Belgium,2021 Q2,6000,7
Europe,Bulgaria,2021 Q2,3000,4
Europe,Czech Republic,2021 Q2,3000,3
Europe,Cyprus,2021 Q2,2000,2
Europe,Denmark,2021 Q2,4000,4
Europe,Finland,2021 Q2,1000,2
Europe,France,2021 Q2,24000,28
Europe,Germany,2021 Q2,19000,21
Europe,Greece,2021 Q2,4000,3
Europe,Hungary,2021 Q2,2000,1
Europe,Republic of Ireland,2021 Q2,47000,30
Europe,Italy,2021 Q2,13000,15
Europe,Lithuania,2021 Q2,1000,1
Europe,Luxembourg,2021 Q2,1000,1
Europe,Malta,2021 Q2,1000,2
Europe,Netherlands,2021 Q2,13000,12
Europe,Norway,2021 Q2,2000,4
Europe,Poland,2021 Q2,10000,11
Europe,Portugal,2021 Q2,8000,7
Europe,Romania,2021 Q2,16000,17
Europe,Russia,2021 Q2,4000,4
Europe,Slovakia,2021 Q2,1000,1
Europe,Spain,2021 Q2,25000,25
Europe,Sweden,2021 Q2,5000,4
Europe,Switzerland,2021 Q2,11000,12
Europe,Turkey,2021 Q2,2000,4
Europe,Rest of Europe,2021 Q2,10000,20
Europe,Total Europe,2021 Q2,242000,247
Europe,EU,2021 Q2,216000,205
Europe,EU15,2021 Q2,173000,162
Europe,EU Other,2021 Q2,42000,44
Other Countries,Egypt,2021 Q2,1000,2
Other Countries,Morocco,2021 Q2,0,0
Other Countries,Tunisia,2021 Q2,0,1
Other Countries,Other North Africa,2021 Q2,0,1
Other Countries,South Africa,2021 Q2,2000,3
Other Countries,Nigeria,2021 Q2,7000,20
Other Countries,Other Africa,2021 Q2,2000,9
Other Countries,Israel,2021 Q2,5000,4
Other Countries,United Arab Emirates,2021 Q2,3000,12
Other Countries,Other Middle East,2021 Q2,9000,95
Other Countries,Hong Kong (China),2021 Q2,1000,7
Other Countries,Other China,2021 Q2,4000,44
Other Countries,India,2021 Q2,3000,5
Other Countries,Japan,2021 Q2,2000,3
Other Countries,Pakistan,2021 Q2,1000,2
Other Countries,Sri Lanka,2021 Q2,0,0
Other Countries,Thailand,2021 Q2,1000,2
Other Countries,Other Asia,2021 Q2,4000,7
Other Countries,Australia,2021 Q2,1000,5
Other Countries,New Zealand,2021 Q2,1000,1
Other Countries,Barbados,2021 Q2,0,0
Other Countries,Jamaica,2021 Q2,0,0
Other Countries,Other Caribbean,2021 Q2,2000,3
Other Countries,Brazil,2021 Q2,1000,2
Other Countries,Mexico,2021 Q2,1000,1
Other Countries,Other Central & Sth. America,2021 Q2,1000,1
Other Countries,Rest of the World,2021 Q2,0,0
Other Countries,Total Other Countries,2021 Q2,53000,231
Total World,Total World,2021 Q2,346000,545
North America,Canada,2021 Q3,50000,53
North America,USA,2021 Q3,239000,276
North America,Total North America,2021 Q3,289000,329
Europe,Austria,2021 Q3,24000,12
Europe,Belgium,2021 Q3,33000,18
Europe,Bulgaria,2021 Q3,20000,11
Europe,Czech Republic,2021 Q3,20000,7
Europe,Cyprus,2021 Q3,11000,15
Europe,Denmark,2021 Q3,23000,16
Europe,Finland,2021 Q3,3000,6
Europe,France,2021 Q3,148000,74
Europe,Germany,2021 Q3,144000,82
Europe,Greece,2021 Q3,23000,27
Europe,Hungary,2021 Q3,18000,5
Europe,Republic of Ireland,2021 Q3,247000,102
Europe,Italy,2021 Q3,85000,61
Europe,Lithuania,2021 Q3,19000,7
Europe,Luxembourg,2021 Q3,7000,5
Europe,Malta,2021 Q3,10000,9
Europe,Netherlands,2021 Q3,77000,44
Europe,Norway,2021 Q3,13000,8
Europe,Poland,2021 Q3,135000,43
Europe,Portugal,2021 Q3,45000,27
Europe,Romania,2021 Q3,62000,36
Europe,Russia,2021 Q3,10000,7
Europe,Slovakia,2021 Q3,4000,5
Europe,Spain,2021 Q3,174000,97
Europe,Sweden,2021 Q3,45000,27
Europe,Switzerland,2021 Q3,63000,65
Europe,Turkey,2021 Q3,3000,3
Europe,Rest of Europe,2021 Q3,63000,63
Europe,Total Europe,2021 Q3,1528000,881
Europe,EU,2021 Q3,1395000,739
Europe,EU15,2021 Q3,1078000,597
Europe,EU Other,2021 Q3,317000,142
Other Countries,Egypt,2021 Q3,2000,4
Other Countries,Morocco,2021 Q3,1000,3
Other Countries,Tunisia,2021 Q3,0,0
Other Countries,Other North Africa,2021 Q3,1000,1
Other Countries,South Africa,2021 Q3,3000,6
Other Countries,Nigeria,2021 Q3,36000,64
Other Countries,Other Africa,2021 Q3,7000,14
Other Countries,Israel,2021 Q3,30000,34
Other Countries,United Arab Emirates,2021 Q3,22000,49
Other Countries,Other Middle East,2021 Q3,48000,179
Other Countries,Hong Kong (China),2021 Q3,4000,10
Other Countries,Other China,2021 Q3,8000,80
Other Countries,India,2021 Q3,15000,30
Other Countries,Japan,2021 Q3,2000,3
Other Countries,Pakistan,2021 Q3,3000,2
Other Countries,Sri Lanka,2021 Q3,0,0
Other Countries,Thailand,2021 Q3,2000,6
Other Countries,Other Asia,2021 Q3,13000,40
Other Countries,Australia,2021 Q3,3000,5
Other Countries,New Zealand,2021 Q3,3000,6
Other Countries,Barbados,2021 Q3,1000,1
Other Countries,Jamaica,2021 Q3,0,0
Other Countries,Other Caribbean,2021 Q3,5000,8
Other Countries,Brazil,2021 Q3,3000,3
Other Countries,Mexico,2021 Q3,5000,6
Other Countries,Other Central & Sth. America,2021 Q3,4000,8
Other Countries,Rest of the World,2021 Q3,0,1
Other Countries,Total Other Countries,2021 Q3,222000,565
Total World,Total World,2021 Q3,2040000,1775
North America,Canada,2021 Q4,72000,83
North America,USA,2021 Q4,348000,420
North America,Total North America,2021 Q4,421000,504
Europe,Austria,2021 Q4,25000,12
Europe,Belgium,2021 Q4,118000,94
Europe,Bulgaria,2021 Q4,26000,12
Europe,Czech Republic,2021 Q4,31000,10
Europe,Cyprus,2021 Q4,26000,16
Europe,Denmark,2021 Q4,72000,39
Europe,Finland,2021 Q4,12000,10
Europe,France,2021 Q4,493000,307
Europe,Germany,2021 Q4,217000,125
Europe,Greece,2021 Q4,41000,32
Europe,Hungary,2021 Q4,37000,14
Europe,Republic of Ireland,2021 Q4,391000,149
Europe,Italy,2021 Q4,147000,87
Europe,Lithuania,2021 Q4,25000,11
Europe,Luxembourg,2021 Q4,8000,5
Europe,Malta,2021 Q4,16000,34
Europe,Netherlands,2021 Q4,170000,86
Europe,Norway,2021 Q4,60000,51
Europe,Poland,2021 Q4,183000,47
Europe,Portugal,2021 Q4,92000,38
Europe,Romania,2021 Q4,101000,41
Europe,Russia,2021 Q4,7000,6
Europe,Slovakia,2021 Q4,6000,4
Europe,Spain,2021 Q4,302000,155
Europe,Sweden,2021 Q4,65000,46
Europe,Switzerland,2021 Q4,87000,63
Europe,Turkey,2021 Q4,24000,25
Europe,Rest of Europe,2021 Q4,122000,109
Europe,Total Europe,2021 Q4,2904000,1626
Europe,EU,2021 Q4,2653000,1393
Europe,EU15,2021 Q4,2154000,1185
Europe,EU Other,2021 Q4,499000,208
Other Countries,Egypt,2021 Q4,4000,15
Other Countries,Morocco,2021 Q4,1000,2
Other Countries,Tunisia,2021 Q4,1000,0
Other Countries,Other North Africa,2021 Q4,0,0
Other Countries,South Africa,2021 Q4,10000,14
Other Countries,Nigeria,2021 Q4,32000,75
Other Countries,Other Africa,2021 Q4,15000,23
Other Countries,Israel,2021 Q4,35000,38
Other Countries,United Arab Emirates,2021 Q4,63000,131
Other Countries,Other Middle East,2021 Q4,95000,297
Other Countries,Hong Kong (China),2021 Q4,6000,22
Other Countries,Other China,2021 Q4,3000,16
Other Countries,India,2021 Q4,33000,72
Other Countries,Japan,2021 Q4,5000,8
Other Countries,Pakistan,2021 Q4,12000,12
Other Countries,Sri Lanka,2021 Q4,0,0
Other Countries,Thailand,2021 Q4,1000,1
Other Countries,Other Asia,2021 Q4,54000,93
Other Countries,Australia,2021 Q4,19000,24
Other Countries,New Zealand,2021 Q4,5000,4
Other Countries,Barbados,2021 Q4,1000,1
Other Countries,Jamaica,2021 Q4,1000,2
Other Countries,Other Caribbean,2021 Q4,10000,10
Other Countries,Brazil,2021 Q4,13000,17
Other Countries,Mexico,2021 Q4,3000,6
Other Countries,Other Central & Sth. America,2021 Q4,9000,24
Other Countries,Rest of the World,2021 Q4,0,1
Other Countries,Total Other Countries,2021 Q4,428000,909
Total World,Total World,2021 Q4,3753000,3039
North America,Canada,2022 Q1,58000,38
North America,USA,2022 Q1,357000,409
North America,Total North America,2022 Q1,415000,447
Europe,Austria,2022 Q1,38000,21
Europe,Belgium,2022 Q1,107000,55
Europe,Bulgaria,2022 Q1,28000,8
Europe,Czech Republic,2022 Q1,38000,13
Europe,Cyprus,2022 Q1,17000,18
Europe,Denmark,2022 Q1,54000,24
Europe,Finland,2022 Q1,16000,15
Europe,France,2022 Q1,462000,265
Europe,Germany,2022 Q1,208000,112
Europe,Greece,2022 Q1,30000,28
Europe,Hungary,2022 Q1,52000,14
Europe,Republic of Ireland,2022 Q1,417000,174
Europe,Italy,2022 Q1,162000,122
Europe,Lithuania,2022 Q1,28000,7
Europe,Luxembourg,2022 Q1,10000,7
Europe,Malta,2022 Q1,9000,4
Europe,Netherlands,2022 Q1,188000,83
Europe,Norway,2022 Q1,45000,31
Europe,Poland,2022 Q1,178000,33
Europe,Portugal,2022 Q1,66000,31
Europe,Romania,2022 Q1,114000,36
Europe,Russia,2022 Q1,11000,7
Europe,Slovakia,2022 Q1,13000,3
Europe,Spain,2022 Q1,244000,106
Europe,Sweden,2022 Q1,61000,45
Europe,Switzerland,2022 Q1,107000,67
Europe,Turkey,2022 Q1,28000,19
Europe,Rest of Europe,2022 Q1,88000,67
Europe,Total Europe,2022 Q1,2821000,1413
Europe,EU,2022 Q1,2570000,1245
Europe,EU15,2022 Q1,2063000,1088
Europe,EU Other,2022 Q1,506000,157
Other Countries,Egypt,2022 Q1,3000,8
Other Countries,Morocco,2022 Q1,3000,6
Other Countries,Tunisia,2022 Q1,0,1
Other Countries,Other North Africa,2022 Q1,1000,1
Other Countries,South Africa,2022 Q1,21000,27
Other Countries,Nigeria,2022 Q1,36000,74
Other Countries,Other Africa,2022 Q1,18000,34
Other Countries,Israel,2022 Q1,28000,19
Other Countries,United Arab Emirates,2022 Q1,54000,120
Other Countries,Other Middle East,2022 Q1,80000,250
Other Countries,Hong Kong (China),2022 Q1,3000,4
Other Countries,Other China,2022 Q1,5000,20
Other Countries,India,2022 Q1,56000,69
Other Countries,Japan,2022 Q1,7000,7
Other Countries,Pakistan,2022 Q1,8000,13
Other Countries,Sri Lanka,2022 Q1,1000,2
Other Countries,Thailand,2022 Q1,5000,9
Other Countries,Other Asia,2022 Q1,50000,135
Other Countries,Australia,2022 Q1,45000,88
Other Countries,New Zealand,2022 Q1,5000,10
Other Countries,Barbados,2022 Q1,1000,1
Other Countries,Jamaica,2022 Q1,1000,1
Other Countries,Other Caribbean,2022 Q1,6000,9
Other Countries,Brazil,2022 Q1,45000,49
Other Countries,Mexico,2022 Q1,7000,7
Other Countries,Other Central & Sth. America,2022 Q1,17000,27
Other Countries,Rest of the World,2022 Q1,0,0
Other Countries,Total Other Countries,2022 Q1,508000,992
Total World,Total World,2022 Q1,3743000,2852
North America,Canada,2022 Q2,272000,296
North America,USA,2022 Q2,1315000,1818
North America,Total North America,2022 Q2,1587000,2113
Europe,Austria,2022 Q2,67000,41
Europe,Belgium,2022 Q2,164000,107
Europe,Bulgaria,2022 Q2,52000,19
Europe,Czech Republic,2022 Q2,78000,31
Europe,Cyprus,2022 Q2,23000,10
Europe,Denmark,2022 Q2,108000,57
Europe,Finland,2022 Q2,37000,22
Europe,France,2022 Q2,829000,394
Europe,Germany,2022 Q2,604000,383
Europe,Greece,2022 Q2,36000,27
Europe,Hungary,2022 Q2,48000,16
Europe,Republic of Ireland,2022 Q2,645000,271
Europe,Italy,2022 Q2,287000,135
Europe,Lithuania,2022 Q2,37000,25
Europe,Luxembourg,2022 Q2,26000,20
Europe,Malta,2022 Q2,16000,10
Europe,Netherlands,2022 Q2,454000,243
Europe,Norway,2022 Q2,114000,90
Europe,Poland,2022 Q2,289000,89
Europe,Portugal,2022 Q2,98000,45
Europe,Romania,2022 Q2,129000,65
Europe,Russia,2022 Q2,3000,3
Europe,Slovakia,2022 Q2,18000,5
Europe,Spain,2022 Q2,468000,236
Europe,Sweden,2022 Q2,131000,76
Europe,Switzerland,2022 Q2,239000,190
Europe,Turkey,2022 Q2,45000,49
Europe,Rest of Europe,2022 Q2,144000,115
Europe,Total Europe,2022 Q2,5189000,2773
Europe,EU,2022 Q2,4699000,2352
Europe,EU15,2022 Q2,3954000,2055
Europe,EU Other,2022 Q2,746000,297
Other Countries,Egypt,2022 Q2,7000,12
Other Countries,Morocco,2022 Q2,2000,1
Other Countries,Tunisia,2022 Q2,3000,4
Other Countries,Other North Africa,2022 Q2,2000,4
Other Countries,South Africa,2022 Q2,44000,82
Other Countries,Nigeria,2022 Q2,49000,82
Other Countries,Other Africa,2022 Q2,39000,63
Other Countries,Israel,2022 Q2,63000,54
Other Countries,United Arab Emirates,2022 Q2,85000,154
Other Countries,Other Middle East,2022 Q2,131000,382
Other Countries,Hong Kong (China),2022 Q2,19000,33
Other Countries,Other China,2022 Q2,14000,45
Other Countries,India,2022 Q2,143000,186
Other Countries,Japan,2022 Q2,17000,32
Other Countries,Pakistan,2022 Q2,29000,48
Other Countries,Sri Lanka,2022 Q2,2000,6
Other Countries,Thailand,2022 Q2,24000,46
Other Countries,Other Asia,2022 Q2,112000,177
Other Countries,Australia,2022 Q2,176000,299
Other Countries,New Zealand,2022 Q2,33000,40
Other Countries,Barbados,2022 Q2,1000,1
Other Countries,Jamaica,2022 Q2,0,0
Other Countries,Other Caribbean,2022 Q2,17000,16
Other Countries,Brazil,2022 Q2,62000,65
Other Countries,Mexico,2022 Q2,46000,64
Other Countries,Other Central & Sth. America,2022 Q2,59000,62
Other Countries,Rest of the World,2022 Q2,2000,3
Other Countries,Total Other Countries,2022 Q2,1181000,1960
Total World,Total World,2022 Q2,7957000,6847
North America,Canada,2022 Q3,366000,375
North America,USA,2022 Q3,1791000,2359
North America,Total North America,2022 Q3,2157000,2734
Europe,Austria,2022 Q3,87000,54
Europe,Belgium,2022 Q3,224000,109
Europe,Bulgaria,2022 Q3,40000,30
Europe,Czech Republic,2022 Q3,98000,49
Europe,Cyprus,2022 Q3,36000,38
Europe,Denmark,2022 Q3,184000,109
Europe,Finland,2022 Q3,65000,45
Europe,France,2022 Q3,697000,432
Europe,Germany,2022 Q3,748000,503
Europe,Greece,2022 Q3,47000,36
Europe,Hungary,2022 Q3,69000,27
Europe,Republic of Ireland,2022 Q3,715000,277
Europe,Italy,2022 Q3,391000,271
Europe,Lithuania,2022 Q3,40000,17
Europe,Luxembourg,2022 Q3,31000,26
Europe,Malta,2022 Q3,21000,12
Europe,Netherlands,2022 Q3,485000,289
Europe,Norway,2022 Q3,198000,168
Europe,Poland,2022 Q3,381000,126
Europe,Portugal,2022 Q3,125000,64
Europe,Romania,2022 Q3,163000,70
Europe,Russia,2022 Q3,16000,13
Europe,Slovakia,2022 Q3,27000,15
Europe,Spain,2022 Q3,540000,313
Europe,Sweden,2022 Q3,204000,137
Europe,Switzerland,2022 Q3,248000,211
Europe,Turkey,2022 Q3,42000,27
Europe,Rest of Europe,2022 Q3,165000,138
Europe,Total Europe,2022 Q3,6084000,3604
Europe,EU,2022 Q3,5473000,3074
Europe,EU15,2022 Q3,4542000,2667
Europe,EU Other,2022 Q3,931000,407
Other Countries,Egypt,2022 Q3,11000,23
Other Countries,Morocco,2022 Q3,3000,8
Other Countries,Tunisia,2022 Q3,3000,4
Other Countries,Other North Africa,2022 Q3,6000,11
Other Countries,South Africa,2022 Q3,80000,97
Other Countries,Nigeria,2022 Q3,67000,109
Other Countries,Other Africa,2022 Q3,45000,70
Other Countries,Israel,2022 Q3,72000,76
Other Countries,United Arab Emirates,2022 Q3,122000,250
Other Countries,Other Middle East,2022 Q3,144000,388
Other Countries,Hong Kong (China),2022 Q3,43000,104
Other Countries,Other China,2022 Q3,28000,89
Other Countries,India,2022 Q3,176000,270
Other Countries,Japan,2022 Q3,48000,73
Other Countries,Pakistan,2022 Q3,25000,39
Other Countries,Sri Lanka,2022 Q3,6000,15
Other Countries,Thailand,2022 Q3,30000,31
Other Countries,Other Asia,2022 Q3,135000,202
Other Countries,Australia,2022 Q3,322000,468
Other Countries,New Zealand,2022 Q3,52000,71
Other Countries,Barbados,2022 Q3,4000,5
Other Countries,Jamaica,2022 Q3,3000,3
Other Countries,Other Caribbean,2022 Q3,28000,31
Other Countries,Brazil,2022 Q3,91000,115
Other Countries,Mexico,2022 Q3,78000,87
Other Countries,Other Central & Sth. America,2022 Q3,79000,84
Other Countries,Rest of the World,2022 Q3,2000,1
Other Countries,Total Other Countries,2022 Q3,17060000,2729
Total World,Total World,2022 Q3,9946000,9066
North America,Canada,2022 Q4,201000,225
North America,USA,2022 Q4,1123000,1376
North America,Total North America,2022 Q4,1324000,1601
Europe,Austria,2022 Q4,96000,68
Europe,Belgium,2022 Q4,184000,132
Europe,Bulgaria,2022 Q4,63000,56
Europe,Czech Republic,2022 Q4,62000,56
Europe,Cyprus,2022 Q4,46000,40
Europe,Denmark,2022 Q4,220000,118
Europe,Finland,2022 Q4,51000,32
Europe,France,2022 Q4,842000,483
Europe,Germany,2022 Q4,673000,394
Europe,Greece,2022 Q4,72000,51
Europe,Hungary,2022 Q4,85000,32
Europe,Republic of Ireland,2022 Q4,731000,304
Europe,Italy,2022 Q4,473000,270
Europe,Lithuania,2022 Q4,60000,19
Europe,Luxembourg,2022 Q4,15000,14
Europe,Malta,2022 Q4,24000,10
Europe,Netherlands,2022 Q4,504000,279
Europe,Norway,2022 Q4,190000,129
Europe,Poland,2022 Q4,497000,167
Europe,Portugal,2022 Q4,205000,83
Europe,Romania,2022 Q4,228000,106
Europe,Russia,2022 Q4,13000,24
