Area of Residence,Country,Year,Visits by Country,Spendings by Country
Europe,Romania,2021,191000,114
Europe,Russia,2021,23000,19
Europe,Slovakia,2021,12000,10
Europe,Spain,2021,525000,297
Europe,Sweden,2021,117000,78
Europe,Switzerland,2021,164000,143
Europe,Turkey,2021,30000,33
Europe,Rest of Europe,2021,201000,201
Europe,Total Europe,2021,4834000,2897
Europe,EU,2021,4410000,2464
Europe,EU15,2021,3516000,2029
Europe,EU Other,2021,895000,435
Other Countries,Egypt,2021,8000,22
Other Countries,Morocco,2021,2000,5
Other Countries,Tunisia,2021,1000,1
Other Countries,Other North Africa,2021,1000,2
Other Countries,South Africa,2021,17000,26
Other Countries,Nigeria,2021,80000,175
Other Countries,Other Africa,2021,27000,48
Other Countries,Israel,2021,71000,76
Other Countries,United Arab Emirates,2021,91000,202
Other Countries,Other Middle East,2021,158000,592
Other Countries,Hong Kong (China),2021,12000,43
Other Countries,Other China,2021,17000,146
Other Countries,India,2021,58000,116
Other Countries,Japan,2021,10000,19
Other Countries,Pakistan,2021,20000,21
Other Countries,Sri Lanka,2021,1000,3
Other Countries,Thailand,2021,5000,12
Other Countries,Other Asia,2021,75000,149
Other Countries,Australia,2021,24000,35
Other Countries,New Zealand,2021,9000,17
Other Countries,Barbados,2021,2000,3
Other Countries,Jamaica,2021,2000,2
Other Countries,Other Caribbean,2021,18000,22
Other Countries,Brazil,2021,19000,25
Other Countries,Mexico,2021,9000,14
Other Countries,Other Central & Sth. America,2021,20000,37
Other Countries,Rest of the World,2021,1000,2
Other Countries,Total Other Countries,2021,759000,1817
Total World,Total World,2021,6384000,5646
North America,Canada,2022,897000,934
North America,USA,2022,4587000,5962
North America,Total North America,2022,5483000,6896
Europe,Austria,2022,288000,184
Europe,Belgium,2022,679000,402
Europe,Bulgaria,2022,183000,113
Europe,Czech Republic,2022,276000,149
Europe,Cyprus,2022,123000,105
Europe,Denmark,2022,566000,309
Europe,Finland,2022,169000,113
Europe,France,2022,2830000,1575
Europe,Germany,2022,2233000,1392
Europe,Greece,2022,185000,143
Europe,Hungary,2022,255000,89
Europe,Republic of Ireland,2022,2509000,1027
Europe,Italy,2022,1313000,798
Europe,Lithuania,2022,164000,68
Europe,Luxembourg,2022,82000,66
Europe,Malta,2022,70000,36
Europe,Netherlands,2022,1632000,894
Europe,Norway,2022,547000,418
Europe,Poland,2022,1345000,415
Europe,Portugal,2022,494000,223
Europe,Romania,2022,634000,277
Europe,Russia,2022,44000,47
Europe,Slovakia,2022,77000,39
Europe,Spain,2022,2012000,1055
Europe,Sweden,2022,630000,393
Europe,Switzerland,2022,862000,647
Europe,Turkey,2022,187000,167
Europe,Rest of Europe,2022,592000,541
Europe,Total Europe,2022,20979000,11678
Europe,EU,2022,18959000,9962
Europe,EU15,2022,15621000,8573
Europe,EU Other,2022,3338000,1389
Other Countries,Egypt,2022,31000,58
Other Countries,Morocco,2022,15000,21
Other Countries,Tunisia,2022,9000,11
Other Countries,Other North Africa,2022,13000,24
Other Countries,South Africa,2022,207000,275
Other Countries,Nigeria,2022,207000,337
Other Countries,Other Africa,2022,127000,206
Other Countries,Israel,2022,245000,234
Other Countries,United Arab Emirates,2022,380000,793
Other Countries,Other Middle East,2022,470000,1368
Other Countries,Hong Kong (China),2022,112000,235
Other Countries,Other China,2022,73000,217
Other Countries,India,2022,516000,764
Other Countries,Japan,2022,115000,164
Other Countries,Pakistan,2022,85000,152
Other Countries,Sri Lanka,2022,13000,27
Other Countries,Thailand,2022,82000,106
Other Countries,Other Asia,2022,484000,754
Other Countries,Australia,2022,723000,1118
Other Countries,New Zealand,2022,126000,198
Other Countries,Barbados,2022,8000,9
Other Countries,Jamaica,2022,6000,8
Other Countries,Other Caribbean,2022,74000,98
Other Countries,Brazil,2022,267000,311
Other Countries,Mexico,2022,163000,186
Other Countries,Other Central & Sth. America,2022,227000,240
Other Countries,Rest of the World,2022,4000,4
Other Countries,Total Other Countries,2022,4782000,7922
Total World,Total World,2022,31244000,26497
North America,Canada,2023,1003000,970
North America,USA,2023,5122000,6258
North America,Total North America,2023,6125000,7227
Europe,Austria,2023,337000,244
Europe,Belgium,2023,867000,481
Europe,Bulgaria,2023,216000,77
Europe,Czech Republic,2023,284000,117
Europe,Cyprus,2023,101000,82
Europe,Denmark,2023,629000,362
Europe,Finland,2023,202000,136
Europe,France,2023,3172000,1635
Europe,Germany,2023,2957000,1829
Europe,Greece,2023,240000,184
Europe,Hungary,2023,300000,91
Europe,Republic of Ireland,2023,2889000,1236
Europe,Italy,2023,1696000,973
Europe,Lithuania,2023,194000,79
Europe,Luxembourg,2023,81000,57
Europe,Malta,2023,124000,69
Europe,Netherlands,2023,1960000,1118
Europe,Norway,2023,600000,447
Europe,Poland,2023,1628000,472
Europe,Portugal,2023,559000,292
Europe,Romania,2023,805000,295
Europe,Russia,2023,36000,28
Europe,Slovakia,2023,133000,54
Europe,Spain,2023,2210000,1069
Europe,Sweden,2023,674000,410
Europe,Switzerland,2023,968000,755
Europe,Turkey,2023,311000,331
Europe,Rest of Europe,2023,653000,507
Europe,Total Europe,2023,24826000,13430
Europe,EU,2023,22499000,11504
Europe,EU15,2023,18472000,10026
Europe,EU Other,2023,4026000,1478
Other Countries,Egypt,2023,37000,56
Other Countries,Morocco,2023,44000,54
Other Countries,Tunisia,2023,15000,8
Other Countries,Other North Africa,2023,22000,24
Other Countries,South Africa,2023,219000,288
Other Countries,Nigeria,2023,221000,393
Other Countries,Other Africa,2023,150000,210
Other Countries,Israel,2023,306000,300
Other Countries,United Arab Emirates,2023,477000,914
Other Countries,Other Middle East,2023,660000,1639
Other Countries,Hong Kong (China),2023,256000,382
Other Countries,Other China,2023,433000,865
Other Countries,India,2023,604000,804
Other Countries,Japan,2023,225000,243
Other Countries,Pakistan,2023,85000,109
Other Countries,Sri Lanka,2023,17000,17
Other Countries,Thailand,2023,120000,159
Other Countries,Other Asia,2023,690000,924
Other Countries,Australia,2023,1169000,1598
Other Countries,New Zealand,2023,265000,347
Other Countries,Barbados,2023,11000,21
Other Countries,Jamaica,2023,7000,11
Other Countries,Other Caribbean,2023,78000,64
Other Countries,Brazil,2023,344000,425
Other Countries,Mexico,2023,187000,174
Other Countries,Other Central & Sth. America,2023,361000,383
Other Countries,Rest of the World,2023,6000,3
Other Countries,Total Other Countries,2023,7009000,10417
Total World,Total World,2023,37959000,31075
North America,Canada,2019 Q1,132000,135
North America,USA,2019 Q1,768000,683
North America,Total North America,2019 Q1,900000,818
Europe,Austria,2019 Q1,80000,36
Europe,Belgium,2019 Q1,236000,60
Europe,Bulgaria,2019 Q1,54000,12
Europe,Czech Republic,2019 Q1,95000,16
Europe,Cyprus,2019 Q1,11000,9
Europe,Denmark,2019 Q1,118000,51
Europe,Finland,2019 Q1,53000,24
Europe,France,2019 Q1,813000,262
Europe,Germany,2019 Q1,675000,239
Europe,Greece,2019 Q1,49000,41
Europe,Hungary,2019 Q1,80000,19
Europe,Republic of Ireland,2019 Q1,652000,209
Europe,Italy,2019 Q1,481000,236
Europe,Lithuania,2019 Q1,63000,26
Europe,Luxembourg,2019 Q1,37000,14
Europe,Malta,2019 Q1,59000,41
Europe,Netherlands,2019 Q1,397000,116
Europe,Norway,2019 Q1,138000,74
Europe,Poland,2019 Q1,382000,84
Europe,Portugal,2019 Q1,141000,54
Europe,Romania,2019 Q1,256000,107
Europe,Russia,2019 Q1,27000,17
Europe,Slovakia,2019 Q1,22000,4
Europe,Spain,2019 Q1,525000,183
Europe,Sweden,2019 Q1,199000,78
Europe,Switzerland,2019 Q1,197000,109
Europe,Turkey,2019 Q1,61000,41
Europe,Rest of Europe,2019 Q1,141000,72
Europe,Total Europe,2019 Q1,6044000,2232
Europe,EU,2019 Q1,5543000,1942
Europe,EU15,2019 Q1,4456000,1601
Europe,EU Other,2019 Q1,1086000,341
Other Countries,Egypt,2019 Q1,9000,17
Other Countries,Morocco,2019 Q1,3000,1
Other Countries,Tunisia,2019 Q1,1000,0
Other Countries,Other North Africa,2019 Q1,5000,4
Other Countries,South Africa,2019 Q1,45000,47
Other Countries,Nigeria,2019 Q1,30000,34
Other Countries,Other Africa,2019 Q1,25000,39
Other Countries,Israel,2019 Q1,60000,70
Other Countries,United Arab Emirates,2019 Q1,92000,158
Other Countries,Other Middle East,2019 Q1,142000,357
Other Countries,Hong Kong (China),2019 Q1,70000,106
Other Countries,Other China,2019 Q1,155000,242
Other Countries,India,2019 Q1,119000,106
Other Countries,Japan,2019 Q1,76000,52
Other Countries,Pakistan,2019 Q1,20000,24
Other Countries,Sri Lanka,2019 Q1,2000,2
Other Countries,Thailand,2019 Q1,31000,45
Other Countries,Other Asia,2019 Q1,173000,154
Other Countries,Australia,2019 Q1,139000,140
Other Countries,New Zealand,2019 Q1,22000,16
Other Countries,Barbados,2019 Q1,5000,2
Other Countries,Jamaica,2019 Q1,4000,2
Other Countries,Other Caribbean,2019 Q1,7000,12
Other Countries,Brazil,2019 Q1,74000,64
Other Countries,Mexico,2019 Q1,28000,22
Other Countries,Other Central & Sth. America,2019 Q1,51000,38
Other Countries,Rest of the World,2019 Q1,0,0
Other Countries,Total Other Countries,2019 Q1,1388000,1755
Total World,Total World,2019 Q1,8332000,4805
North America,Canada,2019 Q2,253000,219
North America,USA,2019 Q2,1284000,1243
North America,Total North America,2019 Q2,1537000,1462
Europe,Austria,2019 Q2,84000,39
Europe,Belgium,2019 Q2,300000,74
Europe,Bulgaria,2019 Q2,44000,21
Europe,Czech Republic,2019 Q2,122000,33
Europe,Cyprus,2019 Q2,51000,53
Europe,Denmark,2019 Q2,186000,96
Europe,Finland,2019 Q2,47000,33
Europe,France,2019 Q2,929000,294
Europe,Germany,2019 Q2,799000,424
Europe,Greece,2019 Q2,66000,39
Europe,Hungary,2019 Q2,74000,27
Europe,Republic of Ireland,2019 Q2,718000,216
Europe,Italy,2019 Q2,556000,227
Europe,Lithuania,2019 Q2,55000,51
Europe,Luxembourg,2019 Q2,41000,19
Europe,Malta,2019 Q2,29000,13
Europe,Netherlands,2019 Q2,460000,192
Europe,Norway,2019 Q2,149000,75
Europe,Poland,2019 Q2,413000,108
Europe,Portugal,2019 Q2,172000,69
Europe,Romania,2019 Q2,217000,136
Europe,Russia,2019 Q2,57000,63
Europe,Slovakia,2019 Q2,27000,13
Europe,Spain,2019 Q2,634000,260
Europe,Sweden,2019 Q2,194000,101
Europe,Switzerland,2019 Q2,243000,124
Europe,Turkey,2019 Q2,67000,47
Europe,Rest of Europe,2019 Q2,144000,116
Europe,Total Europe,2019 Q2,6879000,2964
Europe,EU,2019 Q2,6272000,2562
Europe,EU15,2019 Q2,5187000,2083
Europe,EU Other,2019 Q2,1085000,479
Other Countries,Egypt,2019 Q2,10000,20
Other Countries,Morocco,2019 Q2,4000,2
Other Countries,Tunisia,2019 Q2,0,0
Other Countries,Other North Africa,2019 Q2,4000,5
Other Countries,South Africa,2019 Q2,51000,54
Other Countries,Nigeria,2019 Q2,38000,63
Other Countries,Other Africa,2019 Q2,43000,68
Other Countries,Israel,2019 Q2,51000,41
Other Countries,United Arab Emirates,2019 Q2,130000,211
Other Countries,Other Middle East,2019 Q2,124000,253
Other Countries,Hong Kong (China),2019 Q2,106000,145
Other Countries,Other China,2019 Q2,235000,413
Other Countries,India,2019 Q2,223000,229
Other Countries,Japan,2019 Q2,94000,83
Other Countries,Pakistan,2019 Q2,13000,17
Other Countries,Sri Lanka,2019 Q2,5000,9
Other Countries,Thailand,2019 Q2,48000,52
Other Countries,Other Asia,2019 Q2,240000,297
Other Countries,Australia,2019 Q2,270000,334
Other Countries,New Zealand,2019 Q2,53000,33
Other Countries,Barbados,2019 Q2,8000,6
Other Countries,Jamaica,2019 Q2,0,0
Other Countries,Other Caribbean,2019 Q2,22000,20
Other Countries,Brazil,2019 Q2,61000,48
Other Countries,Mexico,2019 Q2,43000,21
Other Countries,Other Central & Sth. America,2019 Q2,74000,46
Other Countries,Rest of the World,2019 Q2,0,0
Other Countries,Total Other Countries,2019 Q2,1948000,2470
Total World,Total World,2019 Q2,10364000,6896
North America,Canada,2019 Q3,301000,250
North America,USA,2019 Q3,1443000,1349
North America,Total North America,2019 Q3,1745000,1598
Europe,Austria,2019 Q3,86000,54
Europe,Belgium,2019 Q3,308000,120
Europe,Bulgaria,2019 Q3,67000,99
Europe,Czech Republic,2019 Q3,95000,55
Europe,Cyprus,2019 Q3,30000,19
Europe,Denmark,2019 Q3,187000,80
Europe,Finland,2019 Q3,57000,36
Europe,France,2019 Q3,898000,422
Europe,Germany,2019 Q3,945000,519
Europe,Greece,2019 Q3,42000,16
Europe,Hungary,2019 Q3,91000,43
Europe,Republic of Ireland,2019 Q3,716000,208
Europe,Italy,2019 Q3,629000,397
Europe,Lithuania,2019 Q3,76000,23
Europe,Luxembourg,2019 Q3,33000,12
Europe,Malta,2019 Q3,52000,42
Europe,Netherlands,2019 Q3,602000,276
Europe,Norway,2019 Q3,163000,147
Europe,Poland,2019 Q3,421000,146
Europe,Portugal,2019 Q3,148000,88
Europe,Romania,2019 Q3,203000,89
Europe,Russia,2019 Q3,66000,51
Europe,Slovakia,2019 Q3,29000,13
Europe,Spain,2019 Q3,545000,290
Europe,Sweden,2019 Q3,193000,105
Europe,Switzerland,2019 Q3,206000,164
Europe,Turkey,2019 Q3,120000,105
Europe,Rest of Europe,2019 Q3,148000,98
Europe,Total Europe,2019 Q3,7156000,3715
Europe,EU,2019 Q3,6512000,3170
Europe,EU15,2019 Q3,5389000,2622
Europe,EU Other,2019 Q3,1123000,548
Other Countries,Egypt,2019 Q3,23000,23
Other Countries,Morocco,2019 Q3,18000,15
Other Countries,Tunisia,2019 Q3,1000,1
Other Countries,Other North Africa,2019 Q3,5000,8
Other Countries,South Africa,2019 Q3,71000,61
Other Countries,Nigeria,2019 Q3,83000,105
Other Countries,Other Africa,2019 Q3,79000,70
Other Countries,Israel,2019 Q3,74000,54
Other Countries,United Arab Emirates,2019 Q3,195000,277
Other Countries,Other Middle East,2019 Q3,272000,655
Other Countries,Hong Kong (China),2019 Q3,142000,198
Other Countries,Other China,2019 Q3,419000,674
Other Countries,India,2019 Q3,233000,300
Other Countries,Japan,2019 Q3,117000,143
Other Countries,Pakistan,2019 Q3,33000,48
Other Countries,Sri Lanka,2019 Q3,16000,12
Other Countries,Thailand,2019 Q3,54000,98
Other Countries,Other Asia,2019 Q3,289000,348
Other Countries,Australia,2019 Q3,421000,415
Other Countries,New Zealand,2019 Q3,76000,82
Other Countries,Barbados,2019 Q3,10000,6
Other Countries,Jamaica,2019 Q3,1000,1
Other Countries,Other Caribbean,2019 Q3,50000,33
Other Countries,Brazil,2019 Q3,92000,97
Other Countries,Mexico,2019 Q3,61000,61
Other Countries,Other Central & Sth. America,2019 Q3,127000,95
Other Countries,Rest of the World,2019 Q3,1000,0
Other Countries,Total Other Countries,2019 Q3,2963000,3880
Total World,Total World,2019 Q3,11864000,9193
North America,Canada,2019 Q4,188000,131
North America,USA,2019 Q4,1003000,910
North America,Total North America,2019 Q4,1191000,1041
Europe,Austria,2019 Q4,91000,43
Europe,Belgium,2019 Q4,291000,106
Europe,Bulgaria,2019 Q4,71000,38
Europe,Czech Republic,2019 Q4,102000,60
Europe,Cyprus,2019 Q4,36000,26
Europe,Denmark,2019 Q4,201000,102
Europe,Finland,2019 Q4,57000,28
Europe,France,2019 Q4,921000,420
Europe,Germany,2019 Q4,814000,385
Europe,Greece,2019 Q4,93000,74
Europe,Hungary,2019 Q4,90000,56
Europe,Republic of Ireland,2019 Q4,765000,326
Europe,Italy,2019 Q4,530000,249
Europe,Lithuania,2019 Q4,42000,11
Europe,Luxembourg,2019 Q4,35000,39
Europe,Malta,2019 Q4,50000,34
Europe,Netherlands,2019 Q4,528000,212
Europe,Norway,2019 Q4,197000,141
Europe,Poland,2019 Q4,435000,161
Europe,Portugal,2019 Q4,152000,81
Europe,Romania,2019 Q4,227000,107
Europe,Russia,2019 Q4,48000,51
Europe,Slovakia,2019 Q4,34000,12
Europe,Spain,2019 Q4,615000,246
Europe,Sweden,2019 Q4,203000,117
Europe,Switzerland,2019 Q4,280000,173
Europe,Turkey,2019 Q4,87000,71
Europe,Rest of Europe,2019 Q4,222000,129
Europe,Total Europe,2019 Q4,7215000,3497
Europe,EU,2019 Q4,6502000,2988
Europe,EU15,2019 Q4,5295000,2428
Europe,EU Other,2019 Q4,1206000,560
Other Countries,Egypt,2019 Q4,10000,21
Other Countries,Morocco,2019 Q4,8000,16
Other Countries,Tunisia,2019 Q4,7000,2
Other Countries,Other North Africa,2019 Q4,8000,9
Other Countries,South Africa,2019 Q4,49000,61
Other Countries,Nigeria,2019 Q4,58000,130
Other Countries,Other Africa,2019 Q4,42000,108
Other Countries,Israel,2019 Q4,79000,78
Other Countries,United Arab Emirates,2019 Q4,136000,224
Other Countries,Other Middle East,2019 Q4,185000,574
Other Countries,Hong Kong (China),2019 Q4,91000,111
Other Countries,Other China,2019 Q4,201000,569
Other Countries,India,2019 Q4,117000,117
Other Countries,Japan,2019 Q4,101000,92
Other Countries,Pakistan,2019 Q4,24000,26
Other Countries,Sri Lanka,2019 Q4,5000,4
Other Countries,Thailand,2019 Q4,51000,83
Other Countries,Other Asia,2019 Q4,253000,316
Other Countries,Australia,2019 Q4,234000,285
Other Countries,New Zealand,2019 Q4,37000,40
Other Countries,Barbados,2019 Q4,5000,1
Other Countries,Jamaica,2019 Q4,2000,2
Other Countries,Other Caribbean,2019 Q4,30000,38
Other Countries,Brazil,2019 Q4,64000,41
Other Countries,Mexico,2019 Q4,34000,18
Other Countries,Other Central & Sth. America,2019 Q4,59000,52
Other Countries,Rest of the World,2019 Q4,0,0
Other Countries,Total Other Countries,2019 Q4,1891000,3018
Total World,Total World,2019 Q4,10297000,7555
North America,Canada,2020 Q1,2000,2
North America,USA,2020 Q1,29000,29
North America,Total North America,2020 Q1,31000,31
Europe,Austria,2020 Q1,3000,1
Europe,Belgium,2020 Q1,2000,1
Europe,Bulgaria,2020 Q1,8000,10
Europe,Czech Republic,2020 Q1,1000,0
Europe,Cyprus,2020 Q1,2000,0
Europe,Denmark,2020 Q1,2000,3
Europe,Finland,2020 Q1,1000,0
Europe,France,2020 Q1,13000,12
Europe,Germany,2020 Q1,10000,8
Europe,Greece,2020 Q1,4000,10
Europe,Hungary,2020 Q1,1000,1
Europe,Republic of Ireland,2020 Q1,24000,13
Europe,Italy,2020 Q1,10000,11
Europe,Lithuania,2020 Q1,2000,0
Europe,Luxembourg,2020 Q1,0,0
Europe,Malta,2020 Q1,0,0
Europe,Netherlands,2020 Q1,13000,3
Europe,Norway,2020 Q1,1000,1
Europe,Poland,2020 Q1,8000,8
Europe,Portugal,2020 Q1,3000,2
Europe,Romania,2020 Q1,13000,21
Europe,Russia,2020 Q1,2000,2
Europe,Slovakia,2020 Q1,0,0
Europe,Spain,2020 Q1,24000,21
Europe,Sweden,2020 Q1,2000,2
Europe,Switzerland,2020 Q1,2000,3
Europe,Turkey,2020 Q1,1000,2
Europe,Rest of Europe,2020 Q1,5000,8
Europe,Total Europe,2020 Q1,158000,143
Europe,EU,2020 Q1,147000,127
Europe,EU15,2020 Q1,111000,86
Europe,EU Other,2020 Q1,36000,41
Other Countries,Egypt,2020 Q1,1000,1
Other Countries,Morocco,2020 Q1,0,0
Other Countries,Tunisia,2020 Q1,0,0
Other Countries,Other North Africa,2020 Q1,0,1
Other Countries,South Africa,2020 Q1,2000,3
Other Countries,Nigeria,2020 Q1,6000,15
Other Countries,Other Africa,2020 Q1,2000,2
Other Countries,Israel,2020 Q1,0,0
Other Countries,United Arab Emirates,2020 Q1,4000,8
Other Countries,Other Middle East,2020 Q1,6000,21
Other Countries,Hong Kong (China),2020 Q1,1000,5
Other Countries,Other China,2020 Q1,1000,6
Other Countries,India,2020 Q1,6000,8
Other Countries,Japan,2020 Q1,2000,5
Other Countries,Pakistan,2020 Q1,4000,5
Other Countries,Sri Lanka,2020 Q1,0,2
Other Countries,Thailand,2020 Q1,1000,4
Other Countries,Other Asia,2020 Q1,4000,9
Other Countries,Australia,2020 Q1,1000,1
Other Countries,New Zealand,2020 Q1,1000,6
Other Countries,Barbados,2020 Q1,0,0
Other Countries,Jamaica,2020 Q1,0,0
Other Countries,Other Caribbean,2020 Q1,2000,2
Other Countries,Brazil,2020 Q1,3000,3
Other Countries,Mexico,2020 Q1,0,1
Other Countries,Other Central & Sth. America,2020 Q1,6000,4
Other Countries,Rest of the World,2020 Q1,0,0
Other Countries,Total Other Countries,2020 Q1,56000,113
Total World,Total World,2020 Q1,245000,287
North America,Canada,2020 Q2,4000,9
North America,USA,2020 Q2,47000,59
North America,Total North America,2020 Q2,51000,68
Europe,Austria,2020 Q2,4000,4
Europe,Belgium,2020 Q2,6000,7
Europe,Bulgaria,2020 Q2,3000,4
Europe,Czech Republic,2020 Q2,3000,3
Europe,Cyprus,2020 Q2,2000,2
Europe,Denmark,2020 Q2,4000,4
Europe,Finland,2020 Q2,1000,2
Europe,France,2020 Q2,24000,28
Europe,Germany,2020 Q2,19000,21
Europe,Greece,2020 Q2,4000,3
Europe,Hungary,2020 Q2,2000,1
Europe,Republic of Ireland,2020 Q2,47000,30
Europe,Italy,2020 Q2,13000,15
Europe,Lithuania,2020 Q2,1000,1
Europe,Luxembourg,2020 Q2,1000,1
Europe,Malta,2020 Q2,1000,2
Europe,Netherlands,2020 Q2,13000,12
Europe,Norway,2020 Q2,2000,4
Europe,Poland,2020 Q2,10000,11
Europe,Portugal,2020 Q2,8000,7
Europe,Romania,2020 Q2,16000,17
Europe,Russia,2020 Q2,4000,4
Europe,Slovakia,2020 Q2,1000,1
Europe,Spain,2020 Q2,25000,25
Europe,Sweden,2020 Q2,5000,4
Europe,Switzerland,2020 Q2,11000,12
Europe,Turkey,2020 Q2,2000,4
Europe,Rest of Europe,2020 Q2,10000,20
Europe,Total Europe,2020 Q2,242000,247
Europe,EU,2020 Q2,216000,205
Europe,EU15,2020 Q2,173000,162
Europe,EU Other,2020 Q2,42000,44
Other Countries,Egypt,2020 Q2,1000,2
Other Countries,Morocco,2020 Q2,0,0
Other Countries,Tunisia,2020 Q2,0,1
Other Countries,Other North Africa,2020 Q2,0,1
