Period,Area of Residence,Total Visits,Total Spending in millions,Nights Spent,Purpose of Visit,Year,Visits by Purpose,Spending in millions,Number of visits by Air,Number of visits by Sea and Tunnel
2019 Q4,Other Countries,1891000,3018,22999000,Visit friends or relatives,2019 Q4,554000,571,540000,13000
2019 Q4,Other Countries,1891000,3018,22999000,Miscellaneous,2019 Q4,177000,623,171000,6000
2019 Q4,Other Countries,1891000,3018,22999000,All visits,2019 Q4,1891000,3018,1708000,183000
2020 Q1,Other Countries,56000,113,3960000,Holiday - All,2020 Q1,2000,5,2000,0
2020 Q1,Other Countries,56000,113,3960000,Holiday - Inclusive tour,2020 Q1,0,0,0,0
2020 Q1,Other Countries,56000,113,3960000,Business,2020 Q1,3000,9,3000,0
2020 Q1,Other Countries,56000,113,3960000,Visit friends or relatives,2020 Q1,37000,66,37000,0
2020 Q1,Other Countries,56000,113,3960000,Miscellaneous,2020 Q1,13000,32,13000,0
2020 Q1,Other Countries,56000,113,3960000,All visits,2020 Q1,56000,113,55000,0
2020 Q2,Other Countries,53000,231,3745000,Holiday - All,2020 Q2,4000,9,4000,0
2020 Q2,Other Countries,53000,231,3745000,Holiday - Inclusive tour,2020 Q2,0,0,0,0
2020 Q2,Other Countries,53000,231,3745000,Business,2020 Q2,5000,15,5000,0
2020 Q2,Other Countries,53000,231,3745000,Visit friends or relatives,2020 Q2,32000,49,31000,0
2020 Q2,Other Countries,53000,231,3745000,Miscellaneous,2020 Q2,13000,158,12000,0
2020 Q2,Other Countries,53000,231,3745000,All visits,2020 Q2,53000,231,52000,1000
2020 Q3,Other Countries,222000,565,9810000,Holiday - All,2020 Q3,44000,129,44000,1000
2020 Q3,Other Countries,222000,565,9810000,Holiday - Inclusive tour,2020 Q3,1000,1,1000,0
2020 Q3,Other Countries,222000,565,9810000,Business,2020 Q3,11000,33,11000,0
2020 Q3,Other Countries,222000,565,9810000,Visit friends or relatives,2020 Q3,136000,263,135000,1000
2020 Q3,Other Countries,222000,565,9810000,Miscellaneous,2020 Q3,30000,140,30000,0
2020 Q3,Other Countries,222000,565,9810000,All visits,2020 Q3,222000,565,219000,3000
2020 Q4,Other Countries,428000,909,8926000,Holiday - All,2020 Q4,130000,300,113000,17000
2020 Q4,Other Countries,428000,909,8926000,Holiday - Inclusive tour,2020 Q4,4000,14,4000,0
2020 Q4,Other Countries,428000,909,8926000,Business,2020 Q4,48000,99,44000,3000
2020 Q4,Other Countries,428000,909,8926000,Visit friends or relatives,2020 Q4,212000,358,202000,10000
2020 Q4,Other Countries,428000,909,8926000,Miscellaneous,2020 Q4,39000,152,37000,2000
2020 Q4,Other Countries,428000,909,8926000,All visits,2020 Q4,428000,909,396000,32000
2021 Q1,Other Countries,56000,113,3960000,Holiday - All,2021 Q1,2000,5,2000,0
2021 Q1,Other Countries,56000,113,3960000,Holiday - Inclusive tour,2021 Q1,0,0,0,0
2021 Q1,Other Countries,56000,113,3960000,Business,2021 Q1,3000,9,3000,0
2021 Q1,Other Countries,56000,113,3960000,Visit friends or relatives,2021 Q1,37000,66,37000,0
2021 Q1,Other Countries,56000,113,3960000,Miscellaneous,2021 Q1,13000,32,13000,0
2021 Q1,Other Countries,56000,113,3960000,All visits,2021 Q1,56000,113,55000,0
2021 Q2,Other Countries,53000,231,3745000,Holiday - All,2021 Q2,4000,9,4000,0
2021 Q2,Other Countries,53000,231,3745000,Holiday - Inclusive tour,2021 Q2,0,0,0,0
2021 Q2,Other Countries,53000,231,3745000,Business,2021 Q2,5000,15,5000,0
2021 Q2,Other Countries,53000,231,3745000,Visit friends or relatives,2021 Q2,32000,49,31000,0
2021 Q2,Other Countries,53000,231,3745000,Miscellaneous,2021 Q2,13000,158,12000,0
2021 Q2,Other Countries,53000,231,3745000,All visits,2021 Q2,53000,231,52000,1000
2021 Q3,Other Countries,222000,565,9810000,Holiday - All,2021 Q3,44000,129,44000,1000
2021 Q3,Other Countries,222000,565,9810000,Holiday - Inclusive tour,2021 Q3,1000,1,1000,0
2021 Q3,Other Countries,222000,565,9810000,Business,2021 Q3,11000,33,11000,0
2021 Q3,Other Countries,222000,565,9810000,Visit friends or relatives,2021 Q3,136000,263,135000,1000
2021 Q3,Other Countries,222000,565,9810000,Miscellaneous,2021 Q3,30000,140,30000,0
2021 Q3,Other Countries,222000,565,9810000,All visits,2021 Q3,222000,565,219000,3000
2021 Q4,Other Countries,428000,909,8926000,Holiday - All,2021 Q4,130000,300,113000,17000
2021 Q4,Other Countries,428000,909,8926000,Holiday - Inclusive tour,2021 Q4,4000,14,4000,0
2021 Q4,Other Countries,428000,909,8926000,Business,2021 Q4,48000,99,44000,3000
2021 Q4,Other Countries,428000,909,8926000,Visit friends or relatives,2021 Q4,212000,358,202000,10000
2021 Q4,Other Countries,428000,909,8926000,Miscellaneous,2021 Q4,39000,152,37000,2000
2021 Q4,Other Countries,428000,909,8926000,All visits,2021 Q4,428000,909,396000,32000
2022 Q1,Other Countries,508000,992,12516000,Holiday - All,2022 Q1,157000,360,129000,28000
2022 Q1,Other Countries,508000,992,12516000,Holiday - Inclusive tour,2022 Q1,6000,14,6000,0
2022 Q1,Other Countries,508000,992,12516000,Business,2022 Q1,50000,135,45000,5000
2022 Q1,Other Countries,508000,992,12516000,Visit friends or relatives,2022 Q1,258000,387,248000,10000
2022 Q1,Other Countries,508000,992,12516000,Miscellaneous,2022 Q1,43000,110,40000,2000
2022 Q1,Other Countries,508000,992,12516000,All visits,2022 Q1,508000,992,463000,44000
2022 Q2,Other Countries,1181000,1960,19279000,Holiday - All,2022 Q2,439000,752,365000,74000
2022 Q2,Other Countries,1181000,1960,19279000,Holiday - Inclusive tour,2022 Q2,20000,35,13000,8000
2022 Q2,Other Countries,1181000,1960,19279000,Business,2022 Q2,152000,353,140000,12000
2022 Q2,Other Countries,1181000,1960,19279000,Visit friends or relatives,2022 Q2,490000,644,451000,38000
2022 Q2,Other Countries,1181000,1960,19279000,Miscellaneous,2022 Q2,100000,208,90000,10000
2022 Q2,Other Countries,1181000,1960,19279000,All visits,2022 Q2,1181000,1960,1046000,134000
2022 Q3,Other Countries,1706000,2729,32158000,Holiday - All,2022 Q3,653000,1094,557000,96000
2022 Q3,Other Countries,1706000,2729,32158000,Holiday - Inclusive tour,2022 Q3,51000,105,35000,16000
2022 Q3,Other Countries,1706000,2729,32158000,Business,2022 Q3,129000,332,120000,9000
2022 Q3,Other Countries,1706000,2729,32158000,Visit friends or relatives,2022 Q3,794000,1054,759000,35000
2022 Q3,Other Countries,1706000,2729,32158000,Miscellaneous,2022 Q3,130000,246,127000,3000
2022 Q3,Other Countries,1706000,2729,32158000,All visits,2022 Q3,1706000,2729,1563000,143000
2022 Q4,Other Countries,1388000,2242,21780000,Holiday - All,2022 Q4,511000,833,420000,91000
2022 Q4,Other Countries,1388000,2242,21780000,Holiday - Inclusive tour,2022 Q4,27000,52,23000,4000
2022 Q4,Other Countries,1388000,2242,21780000,Business,2022 Q4,169000,447,160000,8000
2022 Q4,Other Countries,1388000,2242,21780000,Visit friends or relatives,2022 Q4,605000,755,573000,32000
2022 Q4,Other Countries,1388000,2242,21780000,Miscellaneous,2022 Q4,104000,203,94000,10000
2022 Q4,Other Countries,1388000,2242,21780000,All visits,2022 Q4,1388000,2242,1247000,141000
2023 Q1,Other Countries,1225000,1881,18919000,Holiday - All,2023 Q1,500000,710,410000,90000
2023 Q1,Other Countries,1225000,1881,18919000,Holiday - Inclusive tour,2023 Q1,37000,32,22000,15000
2023 Q1,Other Countries,1225000,1881,18919000,Business,2023 Q1,121000,264,119000,3000
2023 Q1,Other Countries,1225000,1881,18919000,Visit friends or relatives,2023 Q1,489000,606,468000,21000
2023 Q1,Other Countries,1225000,1881,18919000,Miscellaneous,2023 Q1,115000,300,109000,6000
2023 Q1,Other Countries,1225000,1881,18919000,All visits,2023 Q1,1225000,1881,1105000,120000
2023 Q2,Other Countries,1694000,2398,25791000,Holiday - All,2023 Q2,768000,1064,647000,121000
2023 Q2,Other Countries,1694000,2398,25791000,Holiday - Inclusive tour,2023 Q2,61000,55,38000,23000
2023 Q2,Other Countries,1694000,2398,25791000,Business,2023 Q2,181000,376,169000,12000
2023 Q2,Other Countries,1694000,2398,25791000,Visit friends or relatives,2023 Q2,628000,677,587000,41000
2023 Q2,Other Countries,1694000,2398,25791000,Miscellaneous,2023 Q2,117000,278,113000,4000
2023 Q2,Other Countries,1694000,2398,25791000,All visits,2023 Q2,1694000,2398,1517000,178000
2023 Q3,Other Countries,2401000,3650,38652000,Holiday - All,2023 Q3,1066000,1702,926000,141000
2023 Q3,Other Countries,2401000,3650,38652000,Holiday - Inclusive tour,2023 Q3,91000,138,77000,13000
2023 Q3,Other Countries,2401000,3650,38652000,Business,2023 Q3,183000,437,173000,10000
2023 Q3,Other Countries,2401000,3650,38652000,Visit friends or relatives,2023 Q3,937000,1090,887000,50000
2023 Q3,Other Countries,2401000,3650,38652000,Miscellaneous,2023 Q3,214000,412,202000,12000
2023 Q3,Other Countries,2401000,3650,38652000,All visits,2023 Q3,2401000,3650,2188000,213000
2023 Q4,Other Countries,1688000,2489,23635000,Holiday - All,2023 Q4,672000,997,591000,81000
2023 Q4,Other Countries,1688000,2489,23635000,Holiday - Inclusive tour,2023 Q4,41000,74,30000,11000
2023 Q4,Other Countries,1688000,2489,23635000,Business,2023 Q4,222000,395,215000,7000
2023 Q4,Other Countries,1688000,2489,23635000,Visit friends or relatives,2023 Q4,648000,811,612000,36000
2023 Q4,Other Countries,1688000,2489,23635000,Miscellaneous,2023 Q4,146000,284,143000,3000
2023 Q4,Other Countries,1688000,2489,23635000,All visits,2023 Q4,1688000,2489,1561000,127000
2019,World Total,40857000,28448,289628000,Holiday - All,2019,16905000,13341,13145000,3760000
2019,World Total,40857000,28448,289628000,Holiday - Inclusive tour,2019,2578000,1987,1776000,802000
2019,World Total,40857000,28448,289628000,Business,2019,8670000,5823,5804000,2865000
2019,World Total,40857000,28448,289628000,Visit friends or relatives,2019,12427000,6408,10725000,1702000
2019,World Total,40857000,28448,289628000,Miscellaneous,2019,2855000,2836,2462000,393000
2019,World Total,40857000,28448,289628000,All visits,2019,40857000,28448,32137000,8720000
2020,World Total,11101000,6210,,Holiday - All,2020,,,,
2020,World Total,11101000,6210,,Holiday - Inclusive tour,2020,,,,
2020,World Total,11101000,6210,,Business,2020,,,,
2020,World Total,11101000,6210,,Visit friends or relatives,2020,,,,
2020,World Total,11101000,6210,,Miscellaneous,2020,,,,
2020,World Total,11101000,6210,,All visits,2020,11101000,6210,,
2021,World Total,6384000,5646,93522000,Holiday - All,2021,1175000,1284,958000,217000
2021,World Total,6384000,5646,93522000,Holiday - Inclusive tour,2021,75000,67,55000,20000
2021,World Total,6384000,5646,93522000,Business,2021,1222000,939,586000,637000
2021,World Total,6384000,5646,93522000,Visit friends or relatives,2021,3456000,2395,2919000,537000
2021,World Total,6384000,5646,93522000,Miscellaneous,2021,530000,1021,460000,70000
2021,World Total,6384000,5646,93522000,All visits,2021,6384000,5646,4923000,1461000
2022,World Total,31244000,26497,262864000,Holiday - All,2022,12092000,11567,9758000,2334000
2022,World Total,31244000,26497,262864000,Holiday - Inclusive tour,2022,937000,1136,725000,211000
2022,World Total,31244000,26497,262864000,Business,2022,5149000,4982,3171000,1978000
2022,World Total,31244000,26497,262864000,Visit friends or relatives,2022,11781000,7558,10155000,1625000
2022,World Total,31244000,26497,262864000,Miscellaneous,2022,2223000,2351,1996000,226000
2022,World Total,31244000,26497,262864000,All visits,2022,31244000,26497,25080000,6164000
2023,World Total,37959000,31075,292870000,Holiday - All,2023,15883000,14879,12914000,2970000
2023,World Total,37959000,31075,292870000,Holiday - Inclusive tour,2023,1382000,1459,1083000,299000
2023,World Total,37959000,31075,292870000,Business,2023,6476000,5241,4149000,2327000
2023,World Total,37959000,31075,292870000,Visit friends or relatives,2023,12848000,8143,11183000,1665000
2023,World Total,37959000,31075,292870000,Miscellaneous,2023,2753000,2744,2528000,225000
2023,World Total,37959000,31075,292870000,All visits,2023,37959000,31075,30774000,7186000
2019 Q1,World Total,8332000,4805,50657000,Holiday - All,2019 Q1,2965000,2077,2384000,581000
2019 Q1,World Total,8332000,4805,50657000,Holiday - Inclusive tour,2019 Q1,357000,244,264000,92000
2019 Q1,World Total,8332000,4805,50657000,Business,2019 Q1,2124000,1193,1333000,791000
2019 Q1,World Total,8332000,4805,50657000,Visit friends or relatives,2019 Q1,2670000,1163,2283000,388000
2019 Q1,World Total,8332000,4805,50657000,Miscellaneous,2019 Q1,573000,364,487000,86000
2019 Q1,World Total,8332000,4805,50657000,All visits,2019 Q1,8332000,4805,6486000,1846000
2019 Q2,World Total,10364000,6896,69214000,Holiday - All,2019 Q2,4508000,3272,3441000,1067000
2019 Q2,World Total,10364000,6896,69214000,Holiday - Inclusive tour,2019 Q2,883000,613,541000,342000
2019 Q2,World Total,10364000,6896,69214000,Business,2019 Q2,2189000,1484,1466000,723000
2019 Q2,World Total,10364000,6896,69214000,Visit friends or relatives,2019 Q2,2995000,1568,2591000,404000
2019 Q2,World Total,10364000,6896,69214000,Miscellaneous,2019 Q2,673000,560,576000,97000
2019 Q2,World Total,10364000,6896,69214000,All visits,2019 Q2,10364000,6896,8074000,2290000
2019 Q3,World Total,11864000,9193,102784000,Holiday - All,2019 Q3,5365000,4721,4037000,1328000
2019 Q3,World Total,11864000,9193,102784000,Holiday - Inclusive tour,2019 Q3,798000,729,574000,224000
2019 Q3,World Total,11864000,9193,102784000,Business,2019 Q3,2157000,1510,1464000,693000
2019 Q3,World Total,11864000,9193,102784000,Visit friends or relatives,2019 Q3,3430000,2025,2940000,489000
2019 Q3,World Total,11864000,9193,102784000,Miscellaneous,2019 Q3,912000,923,778000,134000
2019 Q3,World Total,11864000,9193,102784000,All visits,2019 Q3,11864000,9193,9220000,2644000
2019 Q4,World Total,10297000,7555,66973000,Holiday - All,2019 Q4,4068000,3270,3283000,785000
2019 Q4,World Total,10297000,7555,66973000,Holiday - Inclusive tour,2019 Q4,540000,402,396000,144000
2019 Q4,World Total,10297000,7555,66973000,Business,2019 Q4,2200000,1635,1542000,658000
2019 Q4,World Total,10297000,7555,66973000,Visit friends or relatives,2019 Q4,3333000,1651,2912000,421000
2019 Q4,World Total,10297000,7555,66973000,Miscellaneous,2019 Q4,697000,989,621000,76000
2019 Q4,World Total,10297000,7555,66973000,All visits,2019 Q4,10297000,7555,8357000,1941000
2020 Q1,World Total,245000,287,11969000,Holiday - All,2020 Q1,8000,11,8000,0
2020 Q1,World Total,245000,287,11969000,Holiday - Inclusive tour,2020 Q1,1000,0,1000,0
2020 Q1,World Total,245000,287,11969000,Business,2020 Q1,34000,38,21000,14000
2020 Q1,World Total,245000,287,11969000,Visit friends or relatives,2020 Q1,151000,152,136000,15000
2020 Q1,World Total,245000,287,11969000,Miscellaneous,2020 Q1,51000,86,43000,8000
2020 Q1,World Total,245000,287,11969000,All visits,2020 Q1,245000,287,207000,38000
2020 Q2,World Total,346000,545,14775000,Holiday - All,2020 Q2,17000,31,14000,3000
2020 Q2,World Total,346000,545,14775000,Holiday - Inclusive tour,2020 Q2,1000,2,1000,0
2020 Q2,World Total,346000,545,14775000,Business,2020 Q2,56000,88,45000,11000
2020 Q2,World Total,346000,545,14775000,Visit friends or relatives,2020 Q2,216000,188,180000,35000
2020 Q2,World Total,346000,545,14775000,Miscellaneous,2020 Q2,58000,238,50000,8000
2020 Q2,World Total,346000,545,14775000,All visits,2020 Q2,346000,545,289000,57000
2020 Q3,World Total,2040000,1775,31896000,Holiday - All,2020 Q3,313000,375,269000,44000
2020 Q3,World Total,2040000,1775,31896000,Holiday - Inclusive tour,2020 Q3,14000,9,10000,3000
2020 Q3,World Total,2040000,1775,31896000,Business,2020 Q3,344000,243,153000,192000
2020 Q3,World Total,2040000,1775,31896000,Visit friends or relatives,2020 Q3,1225000,881,1069000,156000
2020 Q3,World Total,2040000,1775,31896000,Miscellaneous,2020 Q3,157000,273,143000,14000
2020 Q3,World Total,2040000,1775,31896000,All visits,2020 Q3,2040000,1775,1634000,406000
2020 Q4,World Total,3753000,3039,34882000,Holiday - All,2020 Q4,837000,868,668000,170000
2020 Q4,World Total,3753000,3039,34882000,Holiday - Inclusive tour,2020 Q4,59000,54,43000,16000
2020 Q4,World Total,3753000,3039,34882000,Business,2020 Q4,788000,570,367000,420000
2020 Q4,World Total,3753000,3039,34882000,Visit friends or relatives,2020 Q4,1864000,1174,1534000,331000
2020 Q4,World Total,3753000,3039,34882000,Miscellaneous,2020 Q4,264000,424,224000,40000
2020 Q4,World Total,3753000,3039,34882000,All visits,2020 Q4,3753000,3039,2793000,961000
2021 Q1,World Total,245000,287,11969000,Holiday - All,2021 Q1,8000,11,8000,0
2021 Q1,World Total,245000,287,11969000,Holiday - Inclusive tour,2021 Q1,1000,0,1000,0
2021 Q1,World Total,245000,287,11969000,Business,2021 Q1,34000,38,21000,14000
2021 Q1,World Total,245000,287,11969000,Visit friends or relatives,2021 Q1,151000,152,136000,15000
2021 Q1,World Total,245000,287,11969000,Miscellaneous,2021 Q1,51000,86,43000,8000
2021 Q1,World Total,245000,287,11969000,All visits,2021 Q1,245000,287,207000,38000
2021 Q2,World Total,346000,545,14775000,Holiday - All,2021 Q2,17000,31,14000,3000
2021 Q2,World Total,346000,545,14775000,Holiday - Inclusive tour,2021 Q2,1000,2,1000,0
2021 Q2,World Total,346000,545,14775000,Business,2021 Q2,56000,88,45000,11000
2021 Q2,World Total,346000,545,14775000,Visit friends or relatives,2021 Q2,216000,188,180000,35000
2021 Q2,World Total,346000,545,14775000,Miscellaneous,2021 Q2,58000,238,50000,8000
2021 Q2,World Total,346000,545,14775000,All visits,2021 Q2,346000,545,289000,57000
2021 Q3,World Total,2040000,1775,31896000,Holiday - All,2021 Q3,313000,375,269000,44000
2021 Q3,World Total,2040000,1775,31896000,Holiday - Inclusive tour,2021 Q3,14000,9,10000,3000
2021 Q3,World Total,2040000,1775,31896000,Business,2021 Q3,344000,243,153000,192000
2021 Q3,World Total,2040000,1775,31896000,Visit friends or relatives,2021 Q3,1225000,881,1069000,156000
2021 Q3,World Total,2040000,1775,31896000,Miscellaneous,2021 Q3,157000,273,143000,14000
2021 Q3,World Total,2040000,1775,31896000,All visits,2021 Q3,2040000,1775,1634000,406000
2021 Q4,World Total,3753000,3039,34882000,Holiday - All,2021 Q4,837000,868,668000,170000
2021 Q4,World Total,3753000,3039,34882000,Holiday - Inclusive tour,2021 Q4,59000,54,43000,16000
2021 Q4,World Total,3753000,3039,34882000,Business,2021 Q4,788000,570,367000,420000
2021 Q4,World Total,3753000,3039,34882000,Visit friends or relatives,2021 Q4,1864000,1174,1534000,331000
2021 Q4,World Total,3753000,3039,34882000,Miscellaneous,2021 Q4,264000,424,224000,40000
2021 Q4,World Total,3753000,3039,34882000,All visits,2021 Q4,3753000,3039,2793000,961000
2022 Q1,World Total,3743000,2852,36558000,Holiday - All,2022 Q1,944000,865,772000,172000
2022 Q1,World Total,3743000,2852,36558000,Holiday - Inclusive tour,2022 Q1,40000,33,34000,6000
2022 Q1,World Total,3743000,2852,36558000,Business,2022 Q1,802000,572,349000,453000
2022 Q1,World Total,3743000,2852,36558000,Visit friends or relatives,2022 Q1,1738000,1088,1444000,294000
2022 Q1,World Total,3743000,2852,36558000,Miscellaneous,2022 Q1,259000,324,221000,38000
2022 Q1,World Total,3743000,2852,36558000,All visits,2022 Q1,3743000,2852,2786000,957000
2022 Q2,World Total,7957000,6847,63065000,Holiday - All,2022 Q2,3295000,3141,2596000,699000
2022 Q2,World Total,7957000,6847,63065000,Holiday - Inclusive tour,2022 Q2,254000,338,184000,70000
2022 Q2,World Total,7957000,6847,63065000,Business,2022 Q2,1289000,1344,856000,434000
2022 Q2,World Total,7957000,6847,63065000,Visit friends or relatives,2022 Q2,2856000,1753,2433000,424000
2022 Q2,World Total,7957000,6847,63065000,Miscellaneous,2022 Q2,517000,597,449000,68000
2022 Q2,World Total,7957000,6847,63065000,All visits,2022 Q2,7957000,6847,6333000,1624000
2022 Q3,World Total,9946000,9066,91255000,Holiday - All,2022 Q3,4306000,4442,3400000,906000
2022 Q3,World Total,9946000,9066,91255000,Holiday - Inclusive tour,2022 Q3,374000,505,288000,85000
2022 Q3,World Total,9946000,9066,91255000,Business,2022 Q3,1449000,1419,942000,507000
2022 Q3,World Total,9946000,9066,91255000,Visit friends or relatives,2022 Q3,3468000,2542,3026000,442000
2022 Q3,World Total,9946000,9066,91255000,Miscellaneous,2022 Q3,723000,649,655000,68000
2022 Q3,World Total,9946000,9066,91255000,All visits,2022 Q3,9946000,9066,8023000,1923000
2022 Q4,World Total,9598000,7732,71987000,Holiday - All,2022 Q4,3547000,3118,2990000,557000
2022 Q4,World Total,9598000,7732,71987000,Holiday - Inclusive tour,2022 Q4,269000,259,220000,50000
2022 Q4,World Total,9598000,7732,71987000,Business,2022 Q4,1609000,1647,1024000,585000
2022 Q4,World Total,9598000,7732,71987000,Visit friends or relatives,2022 Q4,3718000,2174,3253000,466000
2022 Q4,World Total,9598000,7732,71987000,Miscellaneous,2022 Q4,723000,782,671000,53000
2022 Q4,World Total,9598000,7732,71987000,All visits,2022 Q4,9598000,7732,7938000,1660000
2023 Q1,World Total,7686000,5621,55215000,Holiday - All,2023 Q1,2769000,2113,2343000,426000
2023 Q1,World Total,7686000,5621,55215000,Holiday - Inclusive tour,2023 Q1,174000,138,146000,28000
2023 Q1,World Total,7686000,5621,55215000,Business,2023 Q1,1417000,1127,879000,538000
2023 Q1,World Total,7686000,5621,55215000,Visit friends or relatives,2023 Q1,2852000,1670,2485000,367000
2023 Q1,World Total,7686000,5621,55215000,Miscellaneous,2023 Q1,647000,698,606000,41000
2023 Q1,World Total,7686000,5621,55215000,All visits,2023 Q1,7686000,5621,6313000,1372000
2023 Q2,World Total,9906000,7913,72968000,Holiday - All,2023 Q2,4396000,4117,3528000,868000
2023 Q2,World Total,9906000,7913,72968000,Holiday - Inclusive tour,2023 Q2,380000,377,273000,108000
2023 Q2,World Total,9906000,7913,72968000,Business,2023 Q2,1696000,1263,1134000,562000
2023 Q2,World Total,9906000,7913,72968000,Visit friends or relatives,2023 Q2,3120000,1911,2695000,425000
2023 Q2,World Total,9906000,7913,72968000,Miscellaneous,2023 Q2,694000,606,624000,69000
2023 Q2,World Total,9906000,7913,72968000,All visits,2023 Q2,9906000,7913,7981000,1925000
2023 Q3,World Total,10928000,10113,99845000,Holiday - All,2023 Q3,4961000,5366,3815000,1146000
2023 Q3,World Total,10928000,10113,99845000,Holiday - Inclusive tour,2023 Q3,518000,690,406000,112000
2023 Q3,World Total,10928000,10113,99845000,Business,2023 Q3,1587000,1435,982000,605000
2023 Q3,World Total,10928000,10113,99845000,Visit friends or relatives,2023 Q3,3597000,2467,3142000,455000
2023 Q3,World Total,10928000,10113,99845000,Miscellaneous,2023 Q3,782000,818,710000,72000
2023 Q3,World Total,10928000,10113,99845000,All visits,2023 Q3,10928000,10113,8649000,2278000
2023 Q4,World Total,9441000,7428,64842000,Holiday - All,2023 Q4,3758000,3283,3228000,529000
2023 Q4,World Total,9441000,7428,64842000,Holiday - Inclusive tour,2023 Q4,310000,254,258000,52000
2023 Q4,World Total,9441000,7428,64842000,Business,2023 Q4,1775000,1417,1153000,621000
2023 Q4,World Total,9441000,7428,64842000,Visit friends or relatives,2023 Q4,3279000,2094,2862000,417000
2023 Q4,World Total,9441000,7428,64842000,Miscellaneous,2023 Q4,630000,622,587000,42000
2023 Q4,World Total,9441000,7428,64842000,All visits,2023 Q4,9441000,7428,7831000,1610000
