Region of UK,Area of Residence,Year,Visits by region of UK and area of residence,Spendings by region of UK and area of residence,Nights Spent by region of UK and area of residence
West Midlands,Other Countries,2020,37000.0,101.0,2084000.0
West Midlands,Total World,2020,417000.0,277.0,6439000.0
East of England,North America,2020,54000.0,46.0,1316000.0
East of England,Europe,2020,451000.0,175.0,5327000.0
East of England,European Union,2020,417000.0,152.0,4885000.0
East of England,EU15,2020,292000.0,113.0,3253000.0
East of England,Other European Union,2020,125000.0,38.0,1632000.0
East of England,Other Countries,2020,46000.0,97.0,1654000.0
East of England,Total World,2020,551000.0,318.0,8298000.0
London,North America,2020,455000.0,514.0,4938000.0
London,Europe,2020,1856000.0,1245.0,17036000.0
London,European Union,2020,1668000.0,1066.0,14669000.0
London,EU15,2020,1434000.0,894.0,11585000.0
London,Other European Union,2020,235000.0,172.0,3084000.0
London,Other Countries,2020,408000.0,930.0,9253000.0
London,Total World,2020,2719000.0,2689.0,31226000.0
South East,North America,2020,103000.0,91.0,1664000.0
South East,Europe,2020,655000.0,345.0,7417000.0
South East,European Union,2020,610000.0,306.0,6875000.0
South East,EU15,2020,470000.0,252.0,5301000.0
South East,Other European Union,2020,140000.0,53.0,1574000.0
South East,Other Countries,2020,89000.0,144.0,3574000.0
South East,Total World,2020,846000.0,580.0,12655000.0
South West,North America,2020,50000.0,31.0,599000.0
South West,Europe,2020,303000.0,149.0,3553000.0
South West,European Union,2020,270000.0,135.0,3264000.0
South West,EU15,2020,221000.0,120.0,2608000.0
South West,Other European Union,2020,49000.0,15.0,656000.0
South West,Other Countries,2020,39000.0,66.0,1285000.0
South West,Total World,2020,393000.0,245.0,5438000.0
Total England,North America,2020,708000.0,793.0,10839000.0
Total England,Europe,2020,4353000.0,2551.0,48364000.0
Total England,European Union,2020,3980000.0,2214.0,43201000.0
Total England,EU15,2020,3155000.0,1819.0,32122000.0
Total England,Other European Union,2020,825000.0,396.0,11079000.0
Total England,Other Countries,2020,708000.0,1672.0,24371000.0
Total England,Total World,2020,5769000.0,5015.0,83575000.0
Scotland,North America,2020,82000.0,119.0,1700000.0
Scotland,Europe,2020,351000.0,232.0,4291000.0
Scotland,European Union,2020,327000.0,208.0,3801000.0
Scotland,EU15,2020,263000.0,176.0,3068000.0
Scotland,Other European Union,2020,64000.0,31.0,733000.0
Scotland,Other Countries,2020,46000.0,111.0,1638000.0
Scotland,Total World,2020,479000.0,462.0,7629000.0
Wales,North America,2020,15000.0,10.0,236000.0
Wales,Europe,2020,94000.0,37.0,1328000.0
Wales,European Union,2020,88000.0,34.0,1221000.0
Wales,EU15,2020,72000.0,30.0,1080000.0
Wales,Other European Union,2020,16000.0,4.0,141000.0
Wales,Other Countries,2020,15000.0,19.0,359000.0
Wales,Total World,2020,124000.0,67.0,1923000.0
All Regions,North America,2020,792000.0,932.0,12962000.0
All Regions,Europe,2020,4834000.0,2897.0,54120000.0
All Regions,European Union,2020,4410000.0,2464.0,48129000.0
All Regions,EU15,2020,3516000.0,2029.0,36138000.0
All Regions,Other European Union,2020,895000.0,435.0,11991000.0
All Regions,Other Countries,2020,759000.0,1817.0,26441000.0
All Regions,Total World,2020,6384000.0,5646.0,93522000.0
North East,North America,2021,9000.0,7.0,130000.0
North East,Europe,2021,80000.0,54.0,1315000.0
North East,European Union,2021,74000.0,32.0,944000.0
North East,EU15,2021,59000.0,26.0,723000.0
North East,Other European Union,2021,16000.0,6.0,221000.0
North East,Other Countries,2021,16000.0,27.0,696000.0
North East,Total World,2021,105000.0,88.0,2141000.0
North West,North America,2021,52000.0,47.0,881000.0
North West,Europe,2021,572000.0,266.0,5626000.0
North West,European Union,2021,526000.0,236.0,5188000.0
North West,EU15,2021,402000.0,192.0,3758000.0
North West,Other European Union,2021,124000.0,45.0,1429000.0
North West,Other Countries,2021,85000.0,177.0,3365000.0
North West,Total World,2021,708000.0,490.0,9872000.0
Yorkshire and the Humber,North America,2021,17000.0,11.0,273000.0
Yorkshire and the Humber,Europe,2021,182000.0,88.0,1863000.0
Yorkshire and the Humber,European Union,2021,173000.0,80.0,1744000.0
Yorkshire and the Humber,EU15,2021,133000.0,66.0,1296000.0
Yorkshire and the Humber,Other European Union,2021,40000.0,15.0,448000.0
Yorkshire and the Humber,Other Countries,2021,29000.0,78.0,1362000.0
Yorkshire and the Humber,Total World,2021,228000.0,178.0,3499000.0
East Midlands,North America,2021,21000.0,18.0,370000.0
East Midlands,Europe,2021,198000.0,80.0,2537000.0
East Midlands,European Union,2021,180000.0,71.0,2333000.0
East Midlands,EU15,2021,116000.0,50.0,1374000.0
East Midlands,Other European Union,2021,64000.0,21.0,959000.0
East Midlands,Other Countries,2021,27000.0,52.0,1092000.0
East Midlands,Total World,2021,246000.0,149.0,3998000.0
West Midlands,North America,2021,28000.0,27.0,668000.0
West Midlands,Europe,2021,351000.0,148.0,3687000.0
West Midlands,European Union,2021,321000.0,135.0,3295000.0
West Midlands,EU15,2021,225000.0,104.0,2221000.0
West Midlands,Other European Union,2021,96000.0,31.0,1074000.0
West Midlands,Other Countries,2021,37000.0,101.0,2084000.0
West Midlands,Total World,2021,417000.0,277.0,6439000.0
East of England,North America,2021,54000.0,46.0,1316000.0
East of England,Europe,2021,451000.0,175.0,5327000.0
East of England,European Union,2021,417000.0,152.0,4885000.0
East of England,EU15,2021,292000.0,113.0,3253000.0
East of England,Other European Union,2021,125000.0,38.0,1632000.0
East of England,Other Countries,2021,46000.0,97.0,1654000.0
East of England,Total World,2021,551000.0,318.0,8298000.0
London,North America,2021,455000.0,514.0,4938000.0
London,Europe,2021,1856000.0,1245.0,17036000.0
London,European Union,2021,1668000.0,1066.0,14669000.0
London,EU15,2021,1434000.0,894.0,11585000.0
London,Other European Union,2021,235000.0,172.0,3084000.0
London,Other Countries,2021,408000.0,930.0,9253000.0
London,Total World,2021,2719000.0,2689.0,31226000.0
South East,North America,2021,103000.0,91.0,1664000.0
South East,Europe,2021,655000.0,345.0,7417000.0
South East,European Union,2021,610000.0,306.0,6875000.0
South East,EU15,2021,470000.0,252.0,5301000.0
South East,Other European Union,2021,140000.0,53.0,1574000.0
South East,Other Countries,2021,89000.0,144.0,3574000.0
South East,Total World,2021,846000.0,580.0,12655000.0
South West,North America,2021,50000.0,31.0,599000.0
South West,Europe,2021,303000.0,149.0,3553000.0
South West,European Union,2021,270000.0,135.0,3264000.0
South West,EU15,2021,221000.0,120.0,2608000.0
South West,Other European Union,2021,49000.0,15.0,656000.0
South West,Other Countries,2021,39000.0,66.0,1285000.0
South West,Total World,2021,393000.0,245.0,5438000.0
Total England,North America,2021,708000.0,793.0,10839000.0
Total England,Europe,2021,4353000.0,2551.0,48364000.0
Total England,European Union,2021,3980000.0,2214.0,43201000.0
Total England,EU15,2021,3155000.0,1819.0,32122000.0
Total England,Other European Union,2021,825000.0,396.0,11079000.0
Total England,Other Countries,2021,708000.0,1672.0,24371000.0
Total England,Total World,2021,5769000.0,5015.0,83575000.0
Scotland,North America,2021,82000.0,119.0,1700000.0
Scotland,Europe,2021,351000.0,232.0,4291000.0
Scotland,European Union,2021,327000.0,208.0,3801000.0
Scotland,EU15,2021,263000.0,176.0,3068000.0
Scotland,Other European Union,2021,64000.0,31.0,733000.0
Scotland,Other Countries,2021,46000.0,111.0,1638000.0
Scotland,Total World,2021,479000.0,462.0,7629000.0
Wales,North America,2021,15000.0,10.0,236000.0
Wales,Europe,2021,94000.0,37.0,1328000.0
Wales,European Union,2021,88000.0,34.0,1221000.0
Wales,EU15,2021,72000.0,30.0,1080000.0
Wales,Other European Union,2021,16000.0,4.0,141000.0
Wales,Other Countries,2021,15000.0,19.0,359000.0
Wales,Total World,2021,124000.0,67.0,1923000.0
All Regions,North America,2021,792000.0,932.0,12962000.0
All Regions,Europe,2021,4834000.0,2897.0,54120000.0
All Regions,European Union,2021,4410000.0,2464.0,48129000.0
All Regions,EU15,2021,3516000.0,2029.0,36138000.0
All Regions,Other European Union,2021,895000.0,435.0,11991000.0
All Regions,Other Countries,2021,759000.0,1817.0,26441000.0
All Regions,Total World,2021,6384000.0,5646.0,93522000.0
North East,North America,2022,58000.0,53.0,456000.0
North East,Europe,2022,336000.0,144.0,1893000.0
North East,European Union,2022,300000.0,122.0,1596000.0
North East,EU15,2022,257000.0,113.0,1338000.0
North East,Other European Union,2022,42000.0,9.0,258000.0
North East,Other Countries,2022,83000.0,114.0,1864000.0
North East,Total World,2022,477000.0,311.0,4214000.0
North West,North America,2022,307000.0,226.0,2411000.0
North West,Europe,2022,1879000.0,849.0,10146000.0
North West,European Union,2022,1673000.0,714.0,8990000.0
North West,EU15,2022,1344000.0,617.0,7171000.0
North West,Other European Union,2022,329000.0,97.0,1819000.0
North West,Other Countries,2022,469000.0,557.0,7872000.0
North West,Total World,2022,2655000.0,1632.0,20429000.0
Yorkshire and the Humber,North America,2022,155000.0,104.0,1371000.0
Yorkshire and the Humber,Europe,2022,732000.0,275.0,4872000.0
Yorkshire and the Humber,European Union,2022,667000.0,241.0,4510000.0
Yorkshire and the Humber,EU15,2022,503000.0,209.0,3511000.0
Yorkshire and the Humber,Other European Union,2022,163000.0,32.0,999000.0
Yorkshire and the Humber,Other Countries,2022,171000.0,154.0,2639000.0
Yorkshire and the Humber,Total World,2022,1058000.0,533.0,8882000.0
East Midlands,North America,2022,120000.0,92.0,1137000.0
East Midlands,Europe,2022,680000.0,286.0,4517000.0
East Midlands,European Union,2022,636000.0,274.0,4341000.0
East Midlands,EU15,2022,439000.0,211.0,2999000.0
East Midlands,Other European Union,2022,197000.0,63.0,1342000.0
East Midlands,Other Countries,2022,162000.0,136.0,3168000.0
East Midlands,Total World,2022,962000.0,514.0,8822000.0
West Midlands,North America,2022,156000.0,125.0,1536000.0
West Midlands,Europe,2022,1249000.0,464.0,7083000.0
West Midlands,European Union,2022,1168000.0,437.0,6747000.0
West Midlands,EU15,2022,802000.0,351.0,5142000.0
West Midlands,Other European Union,2022,367000.0,86.0,1605000.0
West Midlands,Other Countries,2022,238000.0,275.0,6051000.0
West Midlands,Total World,2022,1642000.0,864.0,14671000.0
East of England,North America,2022,278000.0,224.0,3095000.0
East of England,Europe,2022,1497000.0,530.0,8911000.0
East of England,European Union,2022,1384000.0,470.0,7934000.0
East of England,EU15,2022,1020000.0,354.0,5564000.0
East of England,Other European Union,2022,365000.0,116.0,2370000.0
East of England,Other Countries,2022,260000.0,250.0,4179000.0
East of England,Total World,2022,2035000.0,1004.0,16185000.0
London,North America,2022,3518000.0,3767.0,21406000.0
London,Europe,2022,9622000.0,5613.0,46453000.0
London,European Union,2022,8655000.0,4866.0,41261000.0
London,EU15,2022,7597000.0,4308.0,35019000.0
London,Other European Union,2022,1059000.0,558.0,6242000.0
London,Other Countries,2022,2986000.0,4768.0,36424000.0
London,Total World,2022,16126000.0,14149.0,104283000.0
South East,North America,2022,651000.0,515.0,5420000.0
South East,Europe,2022,2433000.0,1119.0,16305000.0
South East,European Union,2022,2201000.0,955.0,14225000.0
South East,EU15,2022,1757000.0,751.0,10469000.0
South East,Other European Union,2022,444000.0,205.0,3756000.0
South East,Other Countries,2022,558000.0,652.0,10465000.0
South East,Total World,2022,3641000.0,2286.0,32190000.0
South West,North America,2022,347000.0,293.0,2629000.0
South West,Europe,2022,1463000.0,692.0,10549000.0
South West,European Union,2022,1333000.0,611.0,9323000.0
South West,EU15,2022,1072000.0,510.0,7039000.0
South West,Other European Union,2022,261000.0,100.0,2284000.0
South West,Other Countries,2022,294000.0,306.0,4333000.0
South West,Total World,2022,2104000.0,1291.0,17511000.0
Total England,North America,2022,4837000.0,5401.0,39489000.0
Total England,Europe,2022,18424000.0,9974.0,110753000.0
Total England,European Union,2022,16734000.0,8693.0,98940000.0
Total England,EU15,2022,13731000.0,7426.0,78266000.0
Total England,Other European Union,2022,3003000.0,1267.0,20674000.0
Total England,Other Countries,2022,4486000.0,7218.0,77065000.0
Total England,Total World,2022,27747000.0,22593.0,227307000.0
Scotland,North America,2022,835000.0,1374.0,8251000.0
Scotland,Europe,2022,1958000.0,1300.0,13843000.0
Scotland,European Union,2022,1705000.0,1051.0,11513000.0
Scotland,EU15,2022,1465000.0,961.0,9803000.0
Scotland,Other European Union,2022,240000.0,90.0,1709000.0
Scotland,Other Countries,2022,449000.0,519.0,6568000.0
Scotland,Total World,2022,3242000.0,3192.0,28662000.0
Wales,North America,2022,111000.0,70.0,782000.0
Wales,Europe,2022,461000.0,184.0,3077000.0
Wales,European Union,2022,425000.0,162.0,2759000.0
Wales,EU15,2022,353000.0,139.0,2212000.0
Wales,Other European Union,2022,71000.0,23.0,547000.0
Wales,Other Countries,2022,115000.0,140.0,1572000.0
Wales,Total World,2022,687000.0,394.0,5431000.0
All Regions,North America,2022,5483000.0,6896.0,48770000.0
All Regions,Europe,2022,20979000.0,11678.0,128363000.0
All Regions,European Union,2022,19015000.0,9962.0,113888000.0
All Regions,EU15,2022,15677000.0,8573.0,90832000.0
All Regions,Other European Union,2022,3338000.0,1389.0,23056000.0
All Regions,Other Countries,2022,4782000.0,7922.0,85732000.0
All Regions,Total World,2022,31244000.0,26497.0,262864000.0
North East,North America,2023,65000.0,55.0,786000.0
North East,Europe,2023,272000.0,175.0,2737000.0
North East,European Union,2023,247000.0,161.0,2439000.0
North East,EU15,2023,206000.0,136.0,1988000.0
North East,Other European Union,2023,41000.0,25.0,450000.0
North East,Other Countries,2023,122000.0,130.0,2975000.0
North East,Total World,2023,459000.0,360.0,6498000.0
North West,North America,2023,379000.0,273.0,2729000.0
North West,Europe,2023,2339000.0,1090.0,11397000.0
North West,European Union,2023,2064000.0,896.0,9967000.0
North West,EU15,2023,1610000.0,764.0,7706000.0
North West,Other European Union,2023,454000.0,132.0,2261000.0
North West,Other Countries,2023,699000.0,792.0,9826000.0
North West,Total World,2023,3417000.0,2155.0,23952000.0
Yorkshire and the Humber,North America,2023,188000.0,133.0,1262000.0
Yorkshire and the Humber,Europe,2023,714000.0,234.0,4173000.0
Yorkshire and the Humber,European Union,2023,653000.0,206.0,3858000.0
Yorkshire and the Humber,EU15,2023,463000.0,174.0,2772000.0
Yorkshire and the Humber,Other European Union,2023,189000.0,32.0,1086000.0
Yorkshire and the Humber,Other Countries,2023,245000.0,277.0,3122000.0
Yorkshire and the Humber,Total World,2023,1147000.0,644.0,8556000.0
East Midlands,North America,2023,106000.0,123.0,1167000.0
East Midlands,Europe,2023,771000.0,273.0,3971000.0
East Midlands,European Union,2023,717000.0,249.0,3564000.0
East Midlands,EU15,2023,481000.0,189.0,2523000.0
East Midlands,Other European Union,2023,235000.0,60.0,1041000.0
East Midlands,Other Countries,2023,205000.0,203.0,4491000.0
East Midlands,Total World,2023,1083000.0,600.0,9630000.0
West Midlands,North America,2023,170000.0,112.0,1579000.0
West Midlands,Europe,2023,1388000.0,510.0,6614000.0
West Midlands,European Union,2023,1289000.0,478.0,6196000.0
West Midlands,EU15,2023,922000.0,382.0,4515000.0
West Midlands,Other European Union,2023,366000.0,97.0,1681000.0
West Midlands,Other Countries,2023,331000.0,435.0,6740000.0
West Midlands,Total World,2023,1889000.0,1058.0,14933000.0
East of England,North America,2023,248000.0,191.0,2205000.0
East of England,Europe,2023,1621000.0,568.0,8769000.0
East of England,European Union,2023,1516000.0,528.0,8263000.0
East of England,EU15,2023,1135000.0,431.0,6055000.0
East of England,Other European Union,2023,380000.0,97.0,2208000.0
East of England,Other Countries,2023,340000.0,357.0,5021000.0
East of England,Total World,2023,2209000.0,1116.0,15995000.0
London,North America,2023,4054000.0,3993.0,21059000.0
London,Europe,2023,11616000.0,6599.0,51014000.0
London,European Union,2023,10440000.0,5589.0,45095000.0
London,EU15,2023,8874000.0,4876.0,36802000.0
London,Other European Union,2023,1566000.0,713.0,8293000.0
London,Other Countries,2023,4607000.0,6104.0,43714000.0
London,Total World,2023,20277000.0,16697.0,115787000.0
South East,North America,2023,668000.0,464.0,5000000.0
South East,Europe,2023,2856000.0,1204.0,16269000.0
South East,European Union,2023,2591000.0,1039.0,14206000.0
South East,EU15,2023,2091000.0,912.0,11781000.0
South East,Other European Union,2023,500000.0,127.0,2425000.0
South East,Other Countries,2023,788000.0,809.0,12555000.0
South East,Total World,2023,4312000.0,2477.0,33824000.0
South West,North America,2023,397000.0,298.0,3288000.0
South West,Europe,2023,1621000.0,835.0,11731000.0
South West,European Union,2023,1490000.0,738.0,10228000.0
South West,EU15,2023,1266000.0,664.0,8696000.0
South West,Other European Union,2023,224000.0,73.0,1532000.0
South West,Other Countries,2023,413000.0,332.0,5245000.0
South West,Total World,2023,2431000.0,1464.0,20264000.0
Total England,North America,2023,5393000.0,5644.0,39102000.0
Total England,Europe,2023,21523000.0,11490.0,116683000.0
Total England,European Union,2023,19530000.0,9884.0,103824000.0
Total England,EU15,2023,15841000.0,8528.0,82846000.0
Total England,Other European Union,2023,3689000.0,1356.0,20978000.0
Total England,Other Countries,2023,6573000.0,9456.0,93857000.0
Total England,Total World,2023,33488000.0,26590.0,249641000.0
Scotland,North America,2023,969000.0,1417.0,8841000.0
Scotland,Europe,2023,2331000.0,1411.0,15336000.0
Scotland,European Union,2023,2069000.0,1249.0,13484000.0
Scotland,EU15,2023,1841000.0,1168.0,12212000.0
Scotland,Other European Union,2023,227000.0,81.0,1273000.0
Scotland,Other Countries,2023,688000.0,764.0,10178000.0
Scotland,Total World,2023,3987000.0,3593.0,34354000.0
Wales,North America,2023,133000.0,85.0,847000.0
Wales,Europe,2023,601000.0,250.0,3728000.0
Wales,European Union,2023,551000.0,222.0,3225000.0
Wales,EU15,2023,478000.0,202.0,2886000.0
Wales,Other European Union,2023,73000.0,20.0,339000.0
Wales,Other Countries,2023,158000.0,123.0,1411000.0
Wales,Total World,2023,892000.0,458.0,5986000.0
All Regions,North America,2023,6125000.0,7228.0,49139000.0
All Regions,Europe,2023,24826000.0,13431.0,136735000.0
All Regions,European Union,2023,22557000.0,11504.0,121462000.0
All Regions,EU15,2023,18530000.0,10026.0,98726000.0
All Regions,Other European Union,2023,4028000.0,1479.0,22736000.0
All Regions,Other Countries,2023,7009000.0,10418.0,106996000.0
All Regions,Total World,2023,37959000.0,31075.0,292870000.0
North East,North America,2019 Q1,14000.0,4.0,90000.0
North East,Europe,2019 Q1,58000.0,20.0,285000.0
North East,European Union,2019 Q1,55000.0,19.0,278000.0
North East,EU15,2019 Q1,46000.0,15.0,195000.0
North East,Other European Union,2019 Q1,9000.0,4.0,83000.0
North East,Other Countries,2019 Q1,24000.0,15.0,237000.0
North East,Total World,2019 Q1,96000.0,39.0,612000.0
North West,North America,2019 Q1,42000.0,27.0,258000.0
North West,Europe,2019 Q1,538000.0,154.0,2089000.0
North West,European Union,2019 Q1,494000.0,136.0,1968000.0
North West,EU15,2019 Q1,378000.0,114.0,1568000.0
North West,Other European Union,2019 Q1,115000.0,22.0,400000.0
North West,Other Countries,2019 Q1,110000.0,98.0,1639000.0
North West,Total World,2019 Q1,690000.0,278.0,3986000.0
Yorkshire and the Humber,North America,2019 Q1,18000.0,8.0,120000.0
Yorkshire and the Humber,Europe,2019 Q1,197000.0,54.0,1080000.0
Yorkshire and the Humber,European Union,2019 Q1,183000.0,50.0,1013000.0
Yorkshire and the Humber,EU15,2019 Q1,100000.0,25.0,399000.0
Yorkshire and the Humber,Other European Union,2019 Q1,82000.0,24.0,614000.0
Yorkshire and the Humber,Other Countries,2019 Q1,39000.0,18.0,345000.0
Yorkshire and the Humber,Total World,2019 Q1,254000.0,80.0,1544000.0
East Midlands,North America,2019 Q1,17000.0,7.0,81000.0
East Midlands,Europe,2019 Q1,201000.0,51.0,1150000.0
East Midlands,European Union,2019 Q1,186000.0,46.0,1057000.0
East Midlands,EU15,2019 Q1,112000.0,31.0,479000.0
East Midlands,Other European Union,2019 Q1,74000.0,15.0,578000.0
East Midlands,Other Countries,2019 Q1,38000.0,18.0,361000.0
East Midlands,Total World,2019 Q1,256000.0,75.0,1593000.0
West Midlands,North America,2019 Q1,28000.0,15.0,108000.0
West Midlands,Europe,2019 Q1,451000.0,119.0,1952000.0
West Midlands,European Union,2019 Q1,428000.0,111.0,1854000.0
West Midlands,EU15,2019 Q1,286000.0,84.0,1109000.0
West Midlands,Other European Union,2019 Q1,142000.0,26.0,745000.0
West Midlands,Other Countries,2019 Q1,61000.0,37.0,718000.0
West Midlands,Total World,2019 Q1,540000.0,171.0,2778000.0
East of England,North America,2019 Q1,53000.0,38.0,509000.0
East of England,Europe,2019 Q1,327000.0,60.0,1934000.0
East of England,European Union,2019 Q1,294000.0,55.0,1842000.0
East of England,EU15,2019 Q1,218000.0,42.0,1368000.0
East of England,Other European Union,2019 Q1,77000.0,13.0,474000.0
East of England,Other Countries,2019 Q1,47000.0,45.0,700000.0
East of England,Total World,2019 Q1,427000.0,143.0,3144000.0
London,North America,2019 Q1,657000.0,593.0,3557000.0
London,Europe,2019 Q1,2912000.0,1249.0,12316000.0
London,European Union,2019 Q1,2640000.0,1085.0,11160000.0
London,EU15,2019 Q1,2212000.0,912.0,8334000.0
London,Other European Union,2019 Q1,428000.0,173.0,2826000.0
London,Other Countries,2019 Q1,980000.0,1274.0,7877000.0
London,Total World,2019 Q1,4548000.0,3116.0,23750000.0
South East,North America,2019 Q1,103000.0,47.0,579000.0
South East,Europe,2019 Q1,677000.0,222.0,3170000.0
South East,European Union,2019 Q1,618000.0,183.0,2824000.0
South East,EU15,2019 Q1,487000.0,159.0,2168000.0
South East,Other European Union,2019 Q1,131000.0,24.0,656000.0
South East,Other Countries,2019 Q1,138000.0,112.0,2207000.0
South East,Total World,2019 Q1,919000.0,381.0,5956000.0
South West,North America,2019 Q1,39000.0,18.0,330000.0
South West,Europe,2019 Q1,304000.0,112.0,1725000.0
South West,European Union,2019 Q1,286000.0,96.0,1625000.0
South West,EU15,2019 Q1,238000.0,75.0,1337000.0
South West,Other European Union,2019 Q1,49000.0,21.0,288000.0
South West,Other Countries,2019 Q1,63000.0,45.0,652000.0
South West,Total World,2019 Q1,406000.0,175.0,2707000.0
Total England,North America,2019 Q1,845000.0,756.0,5632000.0
Total England,Europe,2019 Q1,5339000.0,2042.0,25700000.0
Total England,European Union,2019 Q1,4885000.0,1780.0,23619000.0
Total England,EU15,2019 Q1,3872000.0,1456.0,16956000.0
Total England,Other European Union,2019 Q1,1013000.0,323.0,6664000.0
Total England,Other Countries,2019 Q1,1301000.0,1661.0,14737000.0
Total England,Total World,2019 Q1,7485000.0,4459.0,46069000.0
Scotland,North America,2019 Q1,67000.0,51.0,430000.0
Scotland,Europe,2019 Q1,265000.0,95.0,1241000.0
Scotland,European Union,2019 Q1,243000.0,84.0,1145000.0
Scotland,EU15,2019 Q1,212000.0,76.0,984000.0
Scotland,Other European Union,2019 Q1,32000.0,8.0,161000.0
Scotland,Other Countries,2019 Q1,111000.0,65.0,1180000.0
Scotland,Total World,2019 Q1,443000.0,211.0,2851000.0
Wales,North America,2019 Q1,18000.0,8.0,186000.0
Wales,Europe,2019 Q1,100000.0,28.0,626000.0
Wales,European Union,2019 Q1,94000.0,27.0,600000.0
Wales,EU15,2019 Q1,79000.0,21.0,453000.0
Wales,Other European Union,2019 Q1,15000.0,6.0,148000.0
Wales,Other Countries,2019 Q1,38000.0,19.0,463000.0
Wales,Total World,2019 Q1,156000.0,55.0,1275000.0
All Regions,North America,2019 Q1,900000.0,818.0,6263000.0
All Regions,Europe,2019 Q1,6044000.0,2232.0,27952000.0
All Regions,European Union,2019 Q1,5543000.0,1942.0,25723000.0
All Regions,EU15,2019 Q1,4456000.0,1601.0,18630000.0
All Regions,Other European Union,2019 Q1,1086000.0,341.0,7093000.0
All Regions,Other Countries,2019 Q1,1388000.0,1755.0,16442000.0
All Regions,Total World,2019 Q1,8332000.0,4805.0,50657000.0
North East,North America,2019 Q2,16000.0,13.0,98000.0
North East,Europe,2019 Q2,105000.0,34.0,391000.0
North East,European Union,2019 Q2,102000.0,33.0,378000.0
North East,EU15,2019 Q2,87000.0,31.0,340000.0
North East,Other European Union,2019 Q2,15000.0,2.0,38000.0
North East,Other Countries,2019 Q2,24000.0,34.0,980000.0
North East,Total World,2019 Q2,145000.0,81.0,1469000.0
North West,North America,2019 Q2,101000.0,57.0,486000.0
North West,Europe,2019 Q2,598000.0,192.0,2360000.0
North West,European Union,2019 Q2,518000.0,155.0,1973000.0
North West,EU15,2019 Q2,415000.0,132.0,1544000.0
North West,Other European Union,2019 Q2,103000.0,23.0,429000.0
North West,Other Countries,2019 Q2,214000.0,202.0,2128000.0
North West,Total World,2019 Q2,914000.0,451.0,4974000.0
Yorkshire and the Humber,North America,2019 Q2,41000.0,14.0,193000.0
Yorkshire and the Humber,Europe,2019 Q2,195000.0,59.0,1653000.0
Yorkshire and the Humber,European Union,2019 Q2,157000.0,49.0,1466000.0
Yorkshire and the Humber,EU15,2019 Q2,125000.0,35.0,1129000.0
Yorkshire and the Humber,Other European Union,2019 Q2,32000.0,14.0,337000.0
Yorkshire and the Humber,Other Countries,2019 Q2,67000.0,30.0,519000.0
Yorkshire and the Humber,Total World,2019 Q2,304000.0,103.0,2365000.0
East Midlands,North America,2019 Q2,36000.0,23.0,233000.0
East Midlands,Europe,2019 Q2,177000.0,48.0,1213000.0
East Midlands,European Union,2019 Q2,168000.0,40.0,1072000.0
East Midlands,EU15,2019 Q2,106000.0,24.0,588000.0
East Midlands,Other European Union,2019 Q2,62000.0,16.0,484000.0
East Midlands,Other Countries,2019 Q2,66000.0,45.0,690000.0
East Midlands,Total World,2019 Q2,279000.0,117.0,2136000.0
West Midlands,North America,2019 Q2,60000.0,22.0,460000.0
West Midlands,Europe,2019 Q2,467000.0,108.0,1865000.0
West Midlands,European Union,2019 Q2,446000.0,103.0,1796000.0
West Midlands,EU15,2019 Q2,311000.0,87.0,1312000.0
West Midlands,Other European Union,2019 Q2,135000.0,17.0,485000.0
West Midlands,Other Countries,2019 Q2,90000.0,57.0,1235000.0
West Midlands,Total World,2019 Q2,617000.0,187.0,3560000.0
East of England,North America,2019 Q2,47000.0,24.0,214000.0
East of England,Europe,2019 Q2,407000.0,200.0,2665000.0
East of England,European Union,2019 Q2,374000.0,178.0,2488000.0
East of England,EU15,2019 Q2,254000.0,124.0,1090000.0
East of England,Other European Union,2019 Q2,120000.0,53.0,1398000.0
East of England,Other Countries,2019 Q2,91000.0,44.0,803000.0
East of England,Total World,2019 Q2,544000.0,267.0,3682000.0
London,North America,2019 Q2,1000000.0,796.0,4415000.0
London,Europe,2019 Q2,3040000.0,1410.0,13431000.0
London,European Union,2019 Q2,2760000.0,1230.0,12199000.0
London,EU15,2019 Q2,2332000.0,1001.0,9695000.0
London,Other European Union,2019 Q2,428000.0,229.0,2504000.0
London,Other Countries,2019 Q2,1333000.0,1512.0,10455000.0
London,Total World,2019 Q2,5372000.0,3719.0,28301000.0
South East,North America,2019 Q2,217000.0,104.0,991000.0
South East,Europe,2019 Q2,978000.0,358.0,4782000.0
South East,European Union,2019 Q2,884000.0,312.0,4388000.0
South East,EU15,2019 Q2,713000.0,230.0,3279000.0
South East,Other European Union,2019 Q2,171000.0,81.0,1109000.0
South East,Other Countries,2019 Q2,239000.0,169.0,1790000.0
South East,Total World,2019 Q2,1434000.0,631.0,7563000.0
South West,North America,2019 Q2,115000.0,74.0,569000.0
South West,Europe,2019 Q2,431000.0,147.0,2171000.0
South West,European Union,2019 Q2,395000.0,133.0,2014000.0
South West,EU15,2019 Q2,332000.0,114.0,1650000.0
South West,Other European Union,2019 Q2,63000.0,18.0,363000.0
South West,Other Countries,2019 Q2,150000.0,130.0,2474000.0
South West,Total World,2019 Q2,695000.0,351.0,5214000.0
Total England,North America,2019 Q2,1354000.0,1127.0,7659000.0
Total England,Europe,2019 Q2,5882000.0,2556.0,30531000.0
